"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","541","163","41","3","3","0"
"2023-06-01","517","159","41","3","3","0"
"2023-07-01","518","161","44","2","3","0"
"2023-08-01","520","144","43","2","3","0"
"2023-09-01","533","164","38","3","3","0"
"2023-10-01","553","174","45","3","3","0"
"2023-11-01","637","213","56","4","3","0"
"2023-12-01","810","280","78","6","3","0"
"2024-01-01","828","279","72","7","3","0"
"2024-02-01","917","314","88","9","3","1"
"2024-03-01","909","300","85","9","2","0"
"2024-04-01","700","196","49","3","3","0"
"2024-05-01","773","222","59","4","3","0"
"2024-06-01","726","212","50","4","2","0"
"2024-07-01","630","181","41","3","1","0"
"2024-08-01","647","186","42","3","1","0"
"2024-09-01","820","247","52","4","1","0"
"2024-10-01","813","234","52","4","1","1"
"2024-11-01","783","228","55","4","1","1"
"2024-12-01","1026","313","84","9","2","0"
"2025-01-01","1062","317","87","9","2","0"
"2025-02-01","1106","337","108","10","3","0"
"2025-03-01","1201","363","117","11","2","0"
"2025-04-01","1124","340","104","8","2","1"
"2025-05-01","1154","332","89","7","2","1"
"2025-06-01","991","270","69","6","1","0"
"2025-07-01","954","255","65","4","1","0"
"2025-08-01","872","218","56","3","1","0"
"2025-09-01","886","219","56","2","1","0"
"2025-10-01","901","232","56","3","2","0"
"2025-11-01","978","270","54","3","2","0"
"2025-12-01","1275","378","74","8","2","0"
"2026-01-01","1347","397","81","9","2","1"
"2026-02-01","1461","421","94","12","2","1"
"2026-03-01","1416","404","91","12","2","1"
"2026-04-01","1154","310","56","6","2","0"
