"Date","Listing Days Booked","Booked Listings"
"2023-05-01","12223","639"
"2023-06-01","12136","678"
"2023-07-01","13351","652"
"2023-08-01","12993","658"
"2023-09-01","13894","704"
"2023-10-01","15115","735"
"2023-11-01","18094","902"
"2023-12-01","16500","1109"
"2024-01-01","17021","1080"
"2024-02-01","19321","1296"
"2024-03-01","16269","885"
"2024-04-01","14638","836"
"2024-05-01","15774","1009"
"2024-06-01","13833","872"
"2024-07-01","15789","788"
"2024-08-01","16241","822"
"2024-09-01","18953","1096"
"2024-10-01","17102","857"
"2024-11-01","18965","1049"
"2024-12-01","19917","1396"
"2025-01-01","23730","1384"
"2025-02-01","23047","1515"
"2025-03-01","27516","1679"
"2025-04-01","22711","1393"
"2025-05-01","21228","1507"
"2025-06-01","19530","1233"
"2025-07-01","20480","1065"
"2025-08-01","20556","1065"
"2025-09-01","20187","1072"
"2025-10-01","21826","1118"
"2025-11-01","23058","1265"
"2025-12-01","23700","1678"
"2026-01-01","31222","1759"
"2026-02-01","31955","1949"
"2026-03-01","27612","1356"
"2026-04-01","25372","1440"
