"Date","Occupancy"
"2023-05-01","63.25"
"2023-06-01","63.89"
"2023-07-01","69.89"
"2023-08-01","67.45"
"2023-09-01","70.24"
"2023-10-01","71.25"
"2023-11-01","73.19"
"2023-12-01","58.81"
"2024-01-01","53.53"
"2024-02-01","60.71"
"2024-03-01","53.44"
"2024-04-01","59.85"
"2024-05-01","56.61"
"2024-06-01","56"
"2024-07-01","68.95"
"2024-08-01","69.03"
"2024-09-01","67.86"
"2024-10-01","58.96"
"2024-11-01","69.95"
"2024-12-01","63.37"
"2025-01-01","59.41"
"2025-02-01","77.1"
"2025-03-01","58.1"
"2025-04-01","63.09"
"2025-05-01","48.6"
"2025-06-01","61.31"
"2025-07-01","59.18"
"2025-08-01","65.41"
"2025-09-01","65.98"
"2025-10-01","67.69"
"2025-11-01","68.97"
"2025-12-01","61.67"
"2026-01-01","62.08"
"2026-02-01","71"
"2026-03-01","56.79"
"2026-04-01","64.9"
