"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","197.58","332.14","478.76","872.27","226.6","0"
"2023-06-01","188.33","325.37","440.27","1576.08","265.44","0"
"2023-07-01","190.39","328.76","411.09","0","254.54","0"
"2023-08-01","190.99","319.48","420.83","611.87","280.99","0"
"2023-09-01","194.62","326.21","479.99","816.76","245.56","0"
"2023-10-01","201.88","328.3","448.15","1059.6","270.63","0"
"2023-11-01","203.57","341.89","484.21","854.27","312.12","0"
"2023-12-01","245.89","422.65","965.25","1219.14","322.33","0"
"2024-01-01","260.65","463.15","1326.82","973.8","494.05","0"
"2024-02-01","271.27","482.53","1698.27","962.96","637.3","2979.36"
"2024-03-01","235.91","371.81","833.54","772.51","246.49","0"
"2024-04-01","238.95","396.12","2063.92","856.23","396.2","0"
"2024-05-01","226.29","370.12","677.88","835.1","392.9","0"
"2024-06-01","220.45","349.77","554.39","882.56","411.42","0"
"2024-07-01","217.93","361.2","546.44","803.99","430.83","0"
"2024-08-01","220.53","374.33","553.64","823.25","498.74","0"
"2024-09-01","269.44","440.24","642.91","651.14","480.58","0"
"2024-10-01","234.87","373.17","580.63","497.15","401.4","2561.04"
"2024-11-01","246.2","412.59","617.38","681.69","418.54","0"
"2024-12-01","285.86","507.23","679.6","844.85","668.44","0"
"2025-01-01","284.43","481.52","654.17","661.26","592.35","0"
"2025-02-01","273.99","455.12","664.24","828.42","568.5","0"
"2025-03-01","291.38","555.48","762.57","759.86","746.07","0"
"2025-04-01","274","485.28","663.67","793.67","689.94","2665.56"
"2025-05-01","268.06","578.5","589.63","895.04","630.34","2500.43"
"2025-06-01","247.34","472.59","583","788.47","425.6","0"
"2025-07-01","231.27","531.8","558.47","793.84","384.39","0"
"2025-08-01","227.66","536.03","517.2","795.55","524.82","0"
"2025-09-01","231.38","627.8","509.82","685.85","457.77","0"
"2025-10-01","241.08","545.06","498.35","544.44","591.32","0"
"2025-11-01","257.1","390.6","551.75","324.89","579.88","0"
"2025-12-01","311.65","481.72","672.39","1094.83","500.34","0"
"2026-01-01","324.49","500.03","753.72","804.16","772.09","2641.75"
"2026-02-01","366.92","581.49","945.71","871.79","969.53","3277.78"
"2026-03-01","273.84","427.61","701.53","690.15","537.47","0"
"2026-04-01","264.66","414.72","655.07","680.18","1074.52","0"
