"Date","Daily Rate"
"2023-05-01","236"
"2023-06-01","232"
"2023-07-01","230"
"2023-08-01","230"
"2023-09-01","235"
"2023-10-01","241"
"2023-11-01","252"
"2023-12-01","325"
"2024-01-01","358"
"2024-02-01","408"
"2024-03-01","293"
"2024-04-01","364"
"2024-05-01","276"
"2024-06-01","261"
"2024-07-01","262"
"2024-08-01","267"
"2024-09-01","322"
"2024-10-01","276"
"2024-11-01","298"
"2024-12-01","355"
"2025-01-01","345"
"2025-02-01","332"
"2025-03-01","370"
"2025-04-01","341"
"2025-05-01","343"
"2025-06-01","309"
"2025-07-01","308"
"2025-08-01","296"
"2025-09-01","314"
"2025-10-01","311"
"2025-11-01","293"
"2025-12-01","359"
"2026-01-01","379"
"2026-02-01","434"
"2026-03-01","317"
"2026-04-01","308"
