"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","157","202","244","373","523"
"2023-06-01","164","207","267","360","419"
"2023-07-01","162","208","259","350","424"
"2023-08-01","168","205","255","341","411"
"2023-09-01","170","203","265","357","419"
"2023-10-01","177","212","261","378","413"
"2023-11-01","178","213","265","363","498"
"2023-12-01","204","255","318","484","775"
"2024-01-01","213","268","352","462","1061"
"2024-02-01","220","278","369","454","1346"
"2024-03-01","191","235","299","406","779"
"2024-04-01","181","237","300","421","1802"
"2024-05-01","190","240","295","393","684"
"2024-06-01","183","240","293","399","430"
"2024-07-01","183","248","285","388","457"
"2024-08-01","185","242","280","386","581"
"2024-09-01","223","288","343","449","651"
"2024-10-01","182","248","303","392","587"
"2024-11-01","200","260","323","434","656"
"2024-12-01","235","296","361","508","774"
"2025-01-01","231","295","367","512","738"
"2025-02-01","206","270","348","491","759"
"2025-03-01","217","284","365","519","937"
"2025-04-01","203","283","340","462","821"
"2025-05-01","193","280","323","438","1175"
"2025-06-01","193","254","314","420","930"
"2025-07-01","190","246","300","384","1294"
"2025-08-01","181","235","297","364","1254"
"2025-09-01","179","236","292","373","1690"
"2025-10-01","188","244","302","395","1500"
"2025-11-01","188","259","312","407","657"
"2025-12-01","223","309","369","492","721"
"2026-01-01","247","331","394","496","682"
"2026-02-01","271","376","429","544","783"
"2026-03-01","219","275","325","396","636"
"2026-04-01","213","264","325","381","546"
