"Date","Revenue"
"2023-05-01","4514.64"
"2023-06-01","4149.93"
"2023-07-01","4712.28"
"2023-08-01","4534.26"
"2023-09-01","4641.34"
"2023-10-01","4955.14"
"2023-11-01","5055.71"
"2023-12-01","4834.41"
"2024-01-01","5636.6"
"2024-02-01","6084.41"
"2024-03-01","5382.78"
"2024-04-01","6370.85"
"2024-05-01","4312.96"
"2024-06-01","4145.18"
"2024-07-01","5248.96"
"2024-08-01","5284.96"
"2024-09-01","5570.24"
"2024-10-01","5505.47"
"2024-11-01","5395.9"
"2024-12-01","5062.84"
"2025-01-01","5923.25"
"2025-02-01","5049.9"
"2025-03-01","6059.77"
"2025-04-01","5551.23"
"2025-05-01","4833.08"
"2025-06-01","4887.29"
"2025-07-01","5920.76"
"2025-08-01","5718.82"
"2025-09-01","5917.76"
"2025-10-01","6065.51"
"2025-11-01","5332.09"
"2025-12-01","5068.47"
"2026-01-01","6721.19"
"2026-02-01","7122.42"
"2026-03-01","6465.1"
"2026-04-01","5423.46"
