"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3902.33","5754.68","8703.13","4361.34","4154.38",""
"2023-06-01","3466.01","5662.82","5983.17","16548.81","6016.6",""
"2023-07-01","4015.57","6162.53","7864.86","","5769.67",""
"2023-08-01","3800.39","6477.22","6994.89","2447.49","5807.18",""
"2023-09-01","3966.15","5859.42","9021.09","4900.57","6139.09",""
"2023-10-01","4355.92","6136.85","7337.11","8476.78","5773.47",""
"2023-11-01","4195.76","6618.4","8136.54","12386.96","7074.79",""
"2023-12-01","3812.56","5734.67","12647.67","6339.54","9992.25",""
"2024-01-01","4267.71","6636.67","18621.21","10224.89","11033.9",""
"2024-02-01","4187.02","6719.19","22906.93","9415.58","12427.28","14896.82"
"2024-03-01","4417.17","6496.47","14151.96","12617.57","6285.48",""
"2024-04-01","4259.9","6480.31","35274.21","9846.7","10301.29",""
"2024-05-01","3635.34","5571.43","8328.21","3340.38","10739.19",""
"2024-06-01","3620.25","5134.97","7563.46","4412.82","7817.07",""
"2024-07-01","4462.54","6931.77","9336.37","12059.82","11201.71",""
"2024-08-01","4426.26","7279.9","9591.76","5213.89","10473.53",""
"2024-09-01","4740.06","7347.29","9903.3","10581.02","10092.18",""
"2024-10-01","4862.97","6908.8","9014.22","5302.98","8830.77","17927.25"
"2024-11-01","4538.03","7171.93","10095.27","6305.63","12556.19",""
"2024-12-01","4177.84","7045.8","8302.62","5726.2","10695.05",""
"2025-01-01","5007.06","7918.96","9331.81","9918.87","11846.98",""
"2025-02-01","4377.45","6439.36","7502.03","7621.48","4926.98",""
"2025-03-01","5045.33","8326.13","9261.63","6631.46","7460.67",""
"2025-04-01","4568.73","7616.44","9787.12","8201.28","4829.55","18658.95"
"2025-05-01","3912.44","7537.32","7166.24","3324.44","7879.2","10001.73"
"2025-06-01","3982.13","7326.05","8198.38","5322.15","5532.82",""
"2025-07-01","4427.36","10612.61","10342.04","4498.4","7303.44",""
"2025-08-01","4465.74","9792.7","9660.87","3977.77","15219.75",""
"2025-09-01","4423.07","11417.13","8750.22","2743.42","4577.68",""
"2025-10-01","4767.1","10391.24","9116.84","3085.15","9165.52",""
"2025-11-01","4844.84","6483.02","8721.89","3248.87","4928.96",""
"2025-12-01","4633.86","5878.53","8252.91","4379.3","12508.43",""
"2026-01-01","5948.01","8263.72","11305.86","10722.1","13125.5","15850.47"
"2026-02-01","6225.33","8852.83","12335.31","12640.96","19875.46","16388.9"
"2026-03-01","5703.79","8079.85","13168.33","13975.49","7793.33",""
"2026-04-01","4751.8","6964.44","10301.22","8706.37","16117.81",""
