"Date","Unique","B&B","Apartment","House"
"2023-05-01","3632.82","2376.25","2708282.11","170566.68"
"2023-06-01","8534.19","432.96","2631511.72","173170.84"
"2023-07-01","5638.41","","2878922.65","187844.57"
"2023-08-01","3529.17","","2837507.86","142507.7"
"2023-09-01","3610.95","1421.02","3045618.8","216851.42"
"2023-10-01","6039.44","","3363548.96","272441.36"
"2023-11-01","9525.44","6204.42","4214172.27","330351.32"
"2023-12-01","6093.62","1249.34","4972650.98","381364.83"
"2024-01-01","12971.21","437.72","5559480.46","514636.65"
"2024-02-01","14996.29","4461.58","7160140.7","705800.67"
"2024-03-01","7734.43","","4417440.69","338581.32"
"2024-04-01","7611.88","","4984784.53","333631.52"
"2024-05-01","8693.73","749.73","4074365.31","267965.08"
"2024-06-01","4761.94","","3432340.62","177497.22"
"2024-07-01","7731.14","","3944619.68","183831.16"
"2024-08-01","4652.46","","4150163.07","189417.86"
"2024-09-01","12092.59","","5741861.43","351028.84"
"2024-10-01","1051.55","","4495142.28","221990.29"
"2024-11-01","9564.97","","5355929.64","294803.89"
"2024-12-01","7250.88","1534.77","6600369.49","458576.01"
"2025-01-01","12183.75","2207.03","7560654.4","622736.37"
"2025-02-01","12185.25","2401.68","7033283.92","602730.5"
"2025-03-01","39305.68","14611.07","9432288.04","688145.25"
"2025-04-01","4979.64","994.75","7211959.47","514928.06"
"2025-05-01","6592.05","3949.55","6875567.36","397335.62"
"2025-06-01","5505.1","3952.8","5727794.26","288770.82"
"2025-07-01","3184.83","4574.38","5990678.83","307166.98"
"2025-08-01","","5546.73","5784389.79","300608.92"
"2025-09-01","6831.96","5757.99","6056150.81","275096.64"
"2025-10-01","3188.72","4415.15","6475993.8","297646.22"
"2025-11-01","7474.21","7998.63","6413378.62","316242.41"
"2025-12-01","15681.56","6005.13","7987106.47","496091.75"
"2026-01-01","12623.46","8827.3","11033898.91","767217.6"
"2026-02-01","12082.9","28216.05","12803569.84","1037735.97"
"2026-03-01","1556.53","27409.93","8142087.12","595619.59"
"2026-04-01","2921.43","11705.7","7341672.22","453481.08"
