"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","260","81","21","6","0","0"
"2023-06-01","283","80","26","7","0","0"
"2023-07-01","283","81","27","7","0","0"
"2023-08-01","266","75","24","6","0","0"
"2023-09-01","287","73","23","8","0","0"
"2023-10-01","295","81","23","10","0","0"
"2023-11-01","357","109","36","8","0","0"
"2023-12-01","432","147","44","11","0","0"
"2024-01-01","430","139","37","11","0","0"
"2024-02-01","485","166","49","13","0","0"
"2024-03-01","492","163","48","13","0","0"
"2024-04-01","367","111","32","9","0","0"
"2024-05-01","432","126","38","10","0","0"
"2024-06-01","414","120","38","10","0","0"
"2024-07-01","360","103","32","5","0","0"
"2024-08-01","352","105","33","4","0","0"
"2024-09-01","448","127","43","7","1","0"
"2024-10-01","452","118","42","7","1","0"
"2024-11-01","445","126","44","8","1","0"
"2024-12-01","573","164","58","8","2","0"
"2025-01-01","574","169","52","10","2","0"
"2025-02-01","614","183","64","11","2","0"
"2025-03-01","668","190","70","9","2","1"
"2025-04-01","623","165","57","7","2","0"
"2025-05-01","606","162","45","6","2","0"
"2025-06-01","562","143","42","5","2","0"
"2025-07-01","525","138","44","5","1","0"
"2025-08-01","456","120","42","3","1","0"
"2025-09-01","465","119","44","3","1","1"
"2025-10-01","460","121","42","2","0","1"
"2025-11-01","506","131","44","3","0","0"
"2025-12-01","658","187","53","3","0","0"
"2026-01-01","700","203","52","3","0","1"
"2026-02-01","784","223","61","7","0","1"
"2026-03-01","736","210","56","6","1","0"
"2026-04-01","590","145","41","7","1","0"
