"Date","Listing Days Booked","Booked Listings"
"2023-05-01","6051","327"
"2023-06-01","6098","370"
"2023-07-01","6886","341"
"2023-08-01","6903","342"
"2023-09-01","7078","364"
"2023-10-01","7850","384"
"2023-11-01","10093","504"
"2023-12-01","9347","577"
"2024-01-01","9543","559"
"2024-02-01","10555","699"
"2024-03-01","9368","472"
"2024-04-01","8474","457"
"2024-05-01","9154","576"
"2024-06-01","8060","534"
"2024-07-01","9067","453"
"2024-08-01","8947","457"
"2024-09-01","10599","611"
"2024-10-01","9186","478"
"2024-11-01","10521","608"
"2024-12-01","10888","775"
"2025-01-01","12792","753"
"2025-02-01","12750","850"
"2025-03-01","14663","925"
"2025-04-01","12155","740"
"2025-05-01","11361","785"
"2025-06-01","10387","706"
"2025-07-01","10819","572"
"2025-08-01","10872","575"
"2025-09-01","10497","562"
"2025-10-01","11035","575"
"2025-11-01","11991","658"
"2025-12-01","12108","871"
"2026-01-01","15966","923"
"2026-02-01","16862","1056"
"2026-03-01","14442","703"
"2026-04-01","12872","723"
