"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","9.17"
"2024-05-01","5.83"
"2024-06-01","8.14"
"2024-07-01","7.87"
"2024-08-01","6.5"
"2024-09-01","6.22"
"2024-10-01","6.87"
"2024-11-01","5.94"
"2024-12-01","6.02"
"2025-01-01","7.2"
"2025-02-01","6.16"
"2025-03-01","7.17"
"2025-04-01","6.03"
"2025-05-01","5.5"
"2025-06-01","6.5"
"2025-07-01","7.57"
"2025-08-01","6.65"
"2025-09-01","6.49"
"2025-10-01","6.47"
"2025-11-01","5.82"
"2025-12-01","5.68"
"2026-01-01","6.68"
"2026-02-01","6.09"
"2026-03-01","6.9"
"2026-04-01","5.77"
