"Date","Occupancy"
"2023-05-01","62.95"
"2023-06-01","60.08"
"2023-07-01","68.3"
"2023-08-01","69.18"
"2023-09-01","69.32"
"2023-10-01","71.8"
"2023-11-01","74.1"
"2023-12-01","60.26"
"2024-01-01","57.96"
"2024-02-01","61.25"
"2024-03-01","56.47"
"2024-04-01","63.22"
"2024-05-01","61.14"
"2024-06-01","52.79"
"2024-07-01","70.35"
"2024-08-01","67.67"
"2024-09-01","68.03"
"2024-10-01","56.29"
"2024-11-01","68.46"
"2024-12-01","62.87"
"2025-01-01","58.71"
"2025-02-01","76.95"
"2025-03-01","55.76"
"2025-04-01","64.19"
"2025-05-01","49.73"
"2025-06-01","60.62"
"2025-07-01","57.72"
"2025-08-01","65.55"
"2025-09-01","64.3"
"2025-10-01","66.08"
"2025-11-01","68.83"
"2025-12-01","61.82"
"2026-01-01","61.54"
"2026-02-01","70.28"
"2026-03-01","56.42"
"2026-04-01","65.5"
