"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","165","217","267","345","523"
"2023-06-01","173","213","272","334","444"
"2023-07-01","177","222","279","347","454"
"2023-08-01","173","218","287","359","422"
"2023-09-01","176","222","288","329","380"
"2023-10-01","182","238","296","374","412"
"2023-11-01","175","228","288","406","466"
"2023-12-01","201","263","356","430","684"
"2024-01-01","216","270","382","466","780"
"2024-02-01","243","289","380","481","764"
"2024-03-01","205","230","293","376","720"
"2024-04-01","197","239","296","376","886"
"2024-05-01","207","239","297","413","811"
"2024-06-01","207","244","311","393","1026"
"2024-07-01","205","244","290","396","778"
"2024-08-01","193","243","279","386","566"
"2024-09-01","235","289","339","456","566"
"2024-10-01","193","241","298","351","606"
"2024-11-01","218","270","321","410","779"
"2024-12-01","235","321","378","475","763"
"2025-01-01","226","303","375","470","907"
"2025-02-01","206","282","353","456","984"
"2025-03-01","211","298","365","527","817"
"2025-04-01","198","278","336","458","830"
"2025-05-01","198","272","326","450","668"
"2025-06-01","191","263","327","423","639"
"2025-07-01","193","250","301","387","725"
"2025-08-01","188","241","288","394","713"
"2025-09-01","187","256","283","351","1129"
"2025-10-01","195","244","314","381","2322"
"2025-11-01","212","256","315","405","1539"
"2025-12-01","224","302","370","463","965"
"2026-01-01","238","333","373","442","916"
"2026-02-01","267","369","449","529","904"
"2026-03-01","216","268","325","388","705"
"2026-04-01","213","264","319","393","715"
