"Date","Booked Listings","Daily Rate"
"2026-05-14","385","270.97"
"2026-05-15","387","290.68"
"2026-05-16","390","290.68"
"2026-05-17","360","285.75"
"2026-05-18","332","275.9"
"2026-05-19","317","270.97"
"2026-05-20","305","275.9"
"2026-05-21","299","285.75"
"2026-05-22","314","285.75"
"2026-05-23","313","285.75"
"2026-05-24","300","280.83"
"2026-05-25","280","275.9"
"2026-05-26","275","280.83"
"2026-05-27","267","275.9"
"2026-05-28","276","275.9"
"2026-05-29","274","290.68"
"2026-05-30","277","290.68"
"2026-05-31","242","275.9"
"2026-06-01","229","275.9"
"2026-06-02","261","280.83"
"2026-06-03","334","295.61"
"2026-06-04","445","315.32"
"2026-06-05","488","330.1"
"2026-06-06","492","330.1"
"2026-06-07","352","315.32"
"2026-06-08","257","285.75"
"2026-06-09","222","270.97"
"2026-06-10","185","261.12"
"2026-06-11","190","266.05"
"2026-06-12","197","275.9"
"2026-06-13","194","275.9"
"2026-06-14","170","261.12"
"2026-06-15","161","261.12"
"2026-06-16","167","270.97"
"2026-06-17","159","275.9"
"2026-06-18","167","270.97"
"2026-06-19","165","270.97"
"2026-06-20","160","275.9"
"2026-06-21","158","261.12"
"2026-06-22","162","261.12"
"2026-06-23","169","266.05"
"2026-06-24","166","256.19"
"2026-06-25","159","266.05"
"2026-06-26","149","261.12"
"2026-06-27","144","261.12"
"2026-06-28","136","251.27"
"2026-06-29","137","266.05"
"2026-06-30","134","261.12"
"2026-07-01","122","275.9"
"2026-07-02","119","275.9"
"2026-07-03","123","275.9"
"2026-07-04","122","275.9"
"2026-07-05","118","266.05"
"2026-07-06","124","261.12"
"2026-07-07","120","261.12"
"2026-07-08","125","270.97"
"2026-07-09","126","275.9"
"2026-07-10","134","280.83"
"2026-07-11","136","285.75"
"2026-07-12","135","280.83"
"2026-07-13","130","270.97"
"2026-07-14","133","275.9"
"2026-07-15","125","275.9"
"2026-07-16","133","280.83"
"2026-07-17","137","285.75"
"2026-07-18","135","290.68"
"2026-07-19","136","285.75"
"2026-07-20","128","280.83"
"2026-07-21","124","285.75"
"2026-07-22","123","285.75"
"2026-07-23","124","285.75"
"2026-07-24","126","290.68"
"2026-07-25","121","290.68"
"2026-07-26","121","280.83"
"2026-07-27","119","275.9"
"2026-07-28","119","275.9"
"2026-07-29","119","285.75"
"2026-07-30","111","285.75"
"2026-07-31","108","285.75"
"2026-08-01","99","280.83"
"2026-08-02","95","270.97"
"2026-08-03","96","275.9"
"2026-08-04","99","270.97"
"2026-08-05","99","275.9"
"2026-08-06","102","290.68"
"2026-08-07","97","290.68"
"2026-08-08","92","270.97"
"2026-08-09","90","270.97"
"2026-08-10","95","270.97"
"2026-08-11","99","270.97"
"2026-08-12","92","270.97"
"2026-08-13","97","275.9"
"2026-08-14","110","280.83"
"2026-08-15","113","290.68"
"2026-08-16","97","270.97"
"2026-08-17","89","270.97"
"2026-08-18","91","270.97"
"2026-08-19","92","270.97"
"2026-08-20","89","270.97"
"2026-08-21","87","270.97"
"2026-08-22","88","275.9"
"2026-08-23","85","270.97"
"2026-08-24","84","270.97"
"2026-08-25","84","270.97"
"2026-08-26","84","270.97"
"2026-08-27","80","270.97"
"2026-08-28","79","275.9"
"2026-08-29","75","275.9"
"2026-08-30","76","270.97"
"2026-08-31","78","270.97"
"2026-09-01","84","270.97"
"2026-09-02","95","270.97"
"2026-09-03","99","270.97"
"2026-09-04","112","280.83"
"2026-09-05","119","315.32"
"2026-09-06","123","300.53"
"2026-09-07","113","280.83"
"2026-09-08","115","266.05"
"2026-09-09","119","266.05"
"2026-09-10","137","275.9"
"2026-09-11","139","290.68"
"2026-09-12","131","300.53"
"2026-09-13","108","270.97"
"2026-09-14","95","266.05"
"2026-09-15","84","261.12"
"2026-09-16","72","256.19"
"2026-09-17","70","266.05"
"2026-09-18","64","280.83"
"2026-09-19","66","285.75"
"2026-09-20","64","270.97"
"2026-09-21","66","256.19"
"2026-09-22","65","270.97"
"2026-09-23","60","275.9"
"2026-09-24","57","290.68"
"2026-09-25","56","290.68"
"2026-09-26","52","305.46"
"2026-09-27","51","295.61"
"2026-09-28","47","280.83"
"2026-09-29","47","270.97"
"2026-09-30","48","270.97"
"2026-10-01","49","275.9"
"2026-10-02","45","266.05"
"2026-10-03","44","261.12"
"2026-10-04","45","266.05"
"2026-10-05","46","270.97"
"2026-10-06","52","270.97"
"2026-10-07","52","275.9"
"2026-10-08","51","290.68"
"2026-10-09","45","290.68"
"2026-10-10","50","290.68"
"2026-10-11","52","290.68"
"2026-10-12","50","270.97"
"2026-10-13","54","266.05"
"2026-10-14","53","246.34"
"2026-10-15","52","246.34"
"2026-10-16","55","275.9"
"2026-10-17","54","246.34"
"2026-10-18","52","266.05"
"2026-10-19","54","275.9"
"2026-10-20","55","275.9"
"2026-10-21","54","275.9"
"2026-10-22","52","275.9"
"2026-10-23","49","285.75"
"2026-10-24","47","290.68"
"2026-10-25","47","266.05"
"2026-10-26","53","290.68"
"2026-10-27","54","295.61"
"2026-10-28","57","310.39"
"2026-10-29","54","315.32"
"2026-10-30","48","310.39"
"2026-10-31","46","315.32"
