"Date","Revenue"
"2023-05-01","4588.39"
"2023-06-01","3997.82"
"2023-07-01","4956.15"
"2023-08-01","4932.35"
"2023-09-01","4720.59"
"2023-10-01","5391.05"
"2023-11-01","5518.11"
"2023-12-01","5359.48"
"2024-01-01","6008.68"
"2024-02-01","5720.81"
"2024-03-01","6051.42"
"2024-04-01","5697.39"
"2024-05-01","4886.86"
"2024-06-01","4815.29"
"2024-07-01","5835.28"
"2024-08-01","5278.25"
"2024-09-01","5600.11"
"2024-10-01","5160.47"
"2024-11-01","5367.46"
"2024-12-01","5031.86"
"2025-01-01","6045.12"
"2025-02-01","5248.05"
"2025-03-01","5721.92"
"2025-04-01","5345.7"
"2025-05-01","4382.84"
"2025-06-01","4359.46"
"2025-07-01","5289.53"
"2025-08-01","5137.32"
"2025-09-01","5207.95"
"2025-10-01","5953.68"
"2025-11-01","5925.87"
"2025-12-01","5078.95"
"2026-01-01","6607.12"
"2026-02-01","7182.35"
"2026-03-01","6560.49"
"2026-04-01","5708.21"
