"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3915.33","5564.48","8355.69","8860.81","",""
"2023-06-01","3397.32","5154.62","6086.5","8429.17","",""
"2023-07-01","4079.06","6965.79","7212.46","8609.24","",""
"2023-08-01","4043.49","7092.79","7853.65","8211.45","",""
"2023-09-01","3959.39","6337.75","7626.1","9236.62","",""
"2023-10-01","4491.66","6500.63","10329.61","11769.59","",""
"2023-11-01","4500.25","6330.11","11390.7","12685.41","",""
"2023-12-01","4190.43","7510.95","9099.44","9318.7","",""
"2024-01-01","4722.21","8156.4","11650.02","11512.13","",""
"2024-02-01","4303.76","8004.09","10214.39","12277.11","",""
"2024-03-01","4727.65","9096.15","9174.15","12567.41","",""
"2024-04-01","4462.39","8783.84","8554.6","9315.22","",""
"2024-05-01","3934.57","7318.5","7275.31","7151.5","",""
"2024-06-01","3997.94","6977.04","6607.43","4921.92","",""
"2024-07-01","4791.07","8388.91","9035.08","10277.68","",""
"2024-08-01","4731.52","6275.78","7941.4","6446.52","",""
"2024-09-01","4837.99","6954.59","9243","9923.14","1329.85",""
"2024-10-01","4741.7","6292.68","7012.83","4080.41","1990.03",""
"2024-11-01","4497.62","7267.11","8287.09","8930.9","2608.63",""
"2024-12-01","4403.58","6340.59","7239.58","8424.86","1812.72",""
"2025-01-01","5084.76","8062.5","9838.17","8524.05","2149.9",""
"2025-02-01","4283.15","7082.05","8927.23","8695.22","1925.34",""
"2025-03-01","4833.55","7629.24","8834.79","8361.12","1680.59","6274.2"
"2025-04-01","4506.46","7073.09","9711.66","9401.11","2348.56",""
"2025-05-01","3871.92","5658.76","7100.54","4188.22","1639.49",""
"2025-06-01","3770.19","5813.23","7171.65","3805.34","2311.81",""
"2025-07-01","4401.46","7074.78","10442.31","11442.45","2584.55",""
"2025-08-01","4324.72","6925.47","8568.32","10729.81","2689.65",""
"2025-09-01","4223.69","7940.22","7936.02","9825.26","707.12","44410.39"
"2025-10-01","4600.53","10221.5","9240.08","5603.42","",""
"2025-11-01","4675.12","9621.61","9264.37","7002.77","",""
"2025-12-01","4098.86","7547.02","8296.17","12055.36","",""
"2026-01-01","5701.44","8610.43","10650.42","7680.02","","45446.61"
"2026-02-01","6123.34","9024.7","13651.59","5633.97","","40773.92"
"2026-03-01","5856.73","8129.43","12140.22","4498.12","2484.06",""
"2026-04-01","4986.61","7306.58","11671.44","3524.05","2247.26",""
