"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","1494410.58","5994.4"
"2023-06-01","","","1472315.35","6879.3"
"2023-07-01","","","1672437.2","17611.63"
"2023-08-01","","","1654981.54","31882.17"
"2023-09-01","","","1695173.67","23120.76"
"2023-10-01","","","2055929.4","14235.1"
"2023-11-01","","","2766563.45","14562.88"
"2023-12-01","26028.75","","3052197.64","14192.11"
"2024-01-01","","","3340911.78","17941.81"
"2024-02-01","1462.33","","3977012.04","20373.07"
"2024-03-01","","","2846406.39","9862.9"
"2024-04-01","","","2595920.03","7788.17"
"2024-05-01","","","2807027.03","7805.36"
"2024-06-01","","","2563688.24","7677.96"
"2024-07-01","","","2640056.46","3323.46"
"2024-08-01","","","2407392.6","4767.68"
"2024-09-01","","","3401629.74","20037.86"
"2024-10-01","","","2448355.16","18351.26"
"2024-11-01","","","3241051.56","22364.63"
"2024-12-01","4846.01","","3861517.85","33323.85"
"2025-01-01","1226.79","","4514722.89","36022.05"
"2025-02-01","262.42","","4425943.26","34638.96"
"2025-03-01","1585.79","","5262203.35","28986.57"
"2025-04-01","","","3933923.97","21896.3"
"2025-05-01","835.37","","3431160.38","8529.88"
"2025-06-01","","","3071898.83","5882.08"
"2025-07-01","","","3017216.39","8392.84"
"2025-08-01","550.89","","2948013.24","5395.5"
"2025-09-01","","","2910260.02","16609.37"
"2025-10-01","","","3406186.69","17180.91"
"2025-11-01","","","3882385.25","16839.49"
"2025-12-01","541.49","","4395076.41","28146.67"
"2026-01-01","","","6078827.74","19544.62"
"2026-02-01","3951.08","","7506013.39","74600.83"
"2026-03-01","4344.44","","4589276.21","18406.55"
"2026-04-01","1972.59","","4108516.49","16549.78"
