"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","934","621","244","49","6","5"
"2023-06-01","928","598","232","47","5","5"
"2023-07-01","922","620","254","48","4","5"
"2023-08-01","879","588","250","46","3","4"
"2023-09-01","953","615","269","51","3","4"
"2023-10-01","1007","669","284","53","4","4"
"2023-11-01","1112","782","325","63","5","4"
"2023-12-01","1366","932","370","73","7","3"
"2024-01-01","1375","944","387","74","8","4"
"2024-02-01","1470","1049","428","93","9","7"
"2024-03-01","1480","1027","431","95","12","6"
"2024-04-01","1198","821","334","70","10","6"
"2024-05-01","1287","885","361","69","10","6"
"2024-06-01","1219","838","314","61","8","3"
"2024-07-01","1104","763","300","60","11","2"
"2024-08-01","1129","801","301","58","9","3"
"2024-09-01","1350","959","357","74","12","4"
"2024-10-01","1345","936","343","66","13","6"
"2024-11-01","1364","960","358","67","14","5"
"2024-12-01","1604","1117","423","85","11","3"
"2025-01-01","1622","1141","420","83","11","3"
"2025-02-01","1620","1155","451","91","11","5"
"2025-03-01","1702","1225","466","94","12","5"
"2025-04-01","1664","1152","437","90","13","6"
"2025-05-01","1619","1094","405","74","12","5"
"2025-06-01","1469","979","362","63","7","5"
"2025-07-01","1441","968","360","61","6","5"
"2025-08-01","1314","867","319","61","10","3"
"2025-09-01","1338","857","319","57","10","4"
"2025-10-01","1351","858","314","52","11","4"
"2025-11-01","1476","987","347","62","11","5"
"2025-12-01","1764","1160","418","73","10","5"
"2026-01-01","1840","1217","447","70","9","6"
"2026-02-01","1917","1304","474","81","11","5"
"2026-03-01","1893","1242","449","78","10","6"
"2026-04-01","1615","1049","383","65","9","6"
