"Date","Listing Days Booked","Booked Listings"
"2023-05-01","25786","1585"
"2023-06-01","25808","1726"
"2023-07-01","33116","1662"
"2023-08-01","30772","1639"
"2023-09-01","32393","1815"
"2023-10-01","35839","1919"
"2023-11-01","43164","2259"
"2023-12-01","37538","2505"
"2024-01-01","42736","2599"
"2024-02-01","46623","2952"
"2024-03-01","39607","2246"
"2024-04-01","34803","2157"
"2024-05-01","35455","2452"
"2024-06-01","31228","2280"
"2024-07-01","40211","2104"
"2024-08-01","39534","2136"
"2024-09-01","45233","2674"
"2024-10-01","42337","2238"
"2024-11-01","48810","2701"
"2024-12-01","47731","3098"
"2025-01-01","60578","3148"
"2025-02-01","57019","3250"
"2025-03-01","62728","3418"
"2025-04-01","53150","3104"
"2025-05-01","42479","2922"
"2025-06-01","39663","2741"
"2025-07-01","46153","2371"
"2025-08-01","46345","2414"
"2025-09-01","44435","2407"
"2025-10-01","47672","2423"
"2025-11-01","51407","2813"
"2025-12-01","52596","3280"
"2026-01-01","67818","3497"
"2026-02-01","63928","3691"
"2026-03-01","62933","2961"
"2026-04-01","53847","2972"
