"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.38"
"2024-05-01","4.97"
"2024-06-01","6.32"
"2024-07-01","6.28"
"2024-08-01","5.8"
"2024-09-01","5.42"
"2024-10-01","5.57"
"2024-11-01","5.27"
"2024-12-01","5.87"
"2025-01-01","6.24"
"2025-02-01","5.63"
"2025-03-01","5.91"
"2025-04-01","5.3"
"2025-05-01","5.13"
"2025-06-01","5.42"
"2025-07-01","5.95"
"2025-08-01","5.57"
"2025-09-01","5.75"
"2025-10-01","5.27"
"2025-11-01","5.39"
"2025-12-01","5.62"
"2026-01-01","6.05"
"2026-02-01","5.57"
"2026-03-01","5.81"
"2026-04-01","5.11"
