"Date","Occupancy"
"2023-05-01","55.15"
"2023-06-01","56.26"
"2023-07-01","70.31"
"2023-08-01","65.16"
"2023-09-01","64.98"
"2023-10-01","67.5"
"2023-11-01","70.12"
"2023-12-01","59.29"
"2024-01-01","59.17"
"2024-02-01","63.21"
"2024-03-01","54.4"
"2024-04-01","55.68"
"2024-05-01","55.83"
"2024-06-01","49.58"
"2024-07-01","68.73"
"2024-08-01","64.57"
"2024-09-01","65.55"
"2024-10-01","59.42"
"2024-11-01","69.35"
"2024-12-01","63.8"
"2025-01-01","68.99"
"2025-02-01","79.64"
"2025-03-01","64.77"
"2025-04-01","65.11"
"2025-05-01","50.02"
"2025-06-01","59.82"
"2025-07-01","61.17"
"2025-08-01","67.61"
"2025-09-01","65.38"
"2025-10-01","68.46"
"2025-11-01","70.13"
"2025-12-01","64.29"
"2026-01-01","70.32"
"2026-02-01","73.69"
"2026-03-01","65.17"
"2026-04-01","65.95"
