"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","333.13","552.36","754","1200.59","1481.28","2116.02"
"2023-06-01","334.96","576.49","768.82","1292.73","1681.64","2087.79"
"2023-07-01","333.12","577.95","781.43","1136.95","1146.45","1581.83"
"2023-08-01","335.19","568.44","796.87","1187.4","1389.98","1813.07"
"2023-09-01","350.22","593.28","810.35","1268.98","1703.63","2085.51"
"2023-10-01","367.09","619.47","800.19","1187.26","1328.81","1690.17"
"2023-11-01","375.83","694.97","877.52","1417.39","3265.21","2859.02"
"2023-12-01","454.18","764.06","1070.53","2296.44","7800.45","4788.31"
"2024-01-01","490.31","847.74","1185.89","2112.15","4561.02","5181.19"
"2024-02-01","492.65","878.36","1351.12","2272.16","4723.12","3892"
"2024-03-01","412.6","710.21","1016.22","1589.12","2032.41","2855"
"2024-04-01","408.99","730.82","1157.44","1727.86","2981.1","3885.48"
"2024-05-01","389.7","657.31","933.46","1549.03","1331.6","1750.81"
"2024-06-01","390.39","675.91","909.28","1543.95","2957.95","1889.91"
"2024-07-01","381.61","658.35","888.76","1446.36","1835.27","1056.97"
"2024-08-01","384.48","655.54","883.62","1536.28","2171.44","1694.7"
"2024-09-01","458.41","774.38","1117.17","1804","2963.27","4394.08"
"2024-10-01","399.91","673.71","919","1648.12","2767.01","2995.56"
"2024-11-01","428.61","754.82","1072.51","1872.03","2780.83","3350.13"
"2024-12-01","507.25","879.51","1164.42","1848.36","3921.52","4765.76"
"2025-01-01","544.69","890.42","1144.38","1994.67","3962.87","3924.59"
"2025-02-01","505.66","885.36","1159.34","2054.59","4400.18","3552.24"
"2025-03-01","519.8","929.77","1283.08","2211.49","5114.41","3147.99"
"2025-04-01","466.95","817.37","1181.12","2320.6","4084.58","2869.26"
"2025-05-01","442.47","724.7","962.97","2015.36","3768.77","2344.91"
"2025-06-01","421.92","690.77","904.85","1967.96","3514.4","2411.08"
"2025-07-01","405.63","679.54","888.83","1986.89","3246.43","2194.77"
"2025-08-01","398.99","663.01","908.08","1690.06","3940.84","2810.27"
"2025-09-01","406.05","686.62","899.96","1715.48","3451.3","2153.26"
"2025-10-01","430.74","718.51","936.47","1707.21","3832.04","2396.67"
"2025-11-01","459.45","795.4","1050.8","2304.61","3982.12","4454"
"2025-12-01","552.16","906.56","1249.73","2321.61","5683.76","6642.13"
"2026-01-01","589.13","1003.07","1388.03","2866.45","5888.15","7790.83"
"2026-02-01","665.58","1164.9","1591.48","3159.99","4630.54","4205.77"
"2026-03-01","509.62","856.78","1173.27","2430.92","3505.95","3345.84"
"2026-04-01","480.4","792.04","1053.46","2327.76","2910.53","2510.08"
