"Date","Daily Rate"
"2023-05-01","474"
"2023-06-01","495"
"2023-07-01","499"
"2023-08-01","493"
"2023-09-01","517"
"2023-10-01","526"
"2023-11-01","581"
"2023-12-01","676"
"2024-01-01","742"
"2024-02-01","786"
"2024-03-01","621"
"2024-04-01","670"
"2024-05-01","568"
"2024-06-01","577"
"2024-07-01","569"
"2024-08-01","568"
"2024-09-01","692"
"2024-10-01","585"
"2024-11-01","659"
"2024-12-01","743"
"2025-01-01","771"
"2025-02-01","761"
"2025-03-01","800"
"2025-04-01","735"
"2025-05-01","629"
"2025-06-01","606"
"2025-07-01","598"
"2025-08-01","580"
"2025-09-01","587"
"2025-10-01","607"
"2025-11-01","681"
"2025-12-01","791"
"2026-01-01","872"
"2026-02-01","993"
"2026-03-01","740"
"2026-04-01","686"
