"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","232","333","359","449","678"
"2023-06-01","249","330","378","482","698"
"2023-07-01","276","348","387","487","684"
"2023-08-01","274","336","394","480","671"
"2023-09-01","299","391","413","489","700"
"2023-10-01","311","403","419","502","708"
"2023-11-01","282","511","420","513","807"
"2023-12-01","344","437","498","604","996"
"2024-01-01","365","455","536","660","1100"
"2024-02-01","378","494","536","679","1148"
"2024-03-01","334","417","439","558","898"
"2024-04-01","342","405","441","579","1009"
"2024-05-01","307","386","426","526","818"
"2024-06-01","323","392","429","529","812"
"2024-07-01","342","394","423","526","809"
"2024-08-01","319","385","412","526","806"
"2024-09-01","345","458","484","653","987"
"2024-10-01","277","389","434","556","824"
"2024-11-01","307","408","460","590","968"
"2024-12-01","333","477","532","666","1083"
"2025-01-01","338","495","548","690","1144"
"2025-02-01","331","447","515","670","1142"
"2025-03-01","299","460","540","700","1208"
"2025-04-01","288","425","485","632","1104"
"2025-05-01","274","409","450","589","898"
"2025-06-01","276","394","430","559","876"
"2025-07-01","278","393","432","560","850"
"2025-08-01","264","367","410","550","825"
"2025-09-01","271","369","405","544","844"
"2025-10-01","266","388","423","577","844"
"2025-11-01","287","396","450","611","990"
"2025-12-01","363","466","541","703","1140"
"2026-01-01","389","532","598","772","1226"
"2026-02-01","454","561","660","863","1392"
"2026-03-01","395","467","519","631","1024"
"2026-04-01","376","462","485","607","919"
