"Date","Booked Listings","Daily Rate"
"2026-05-14","1414","561.66"
"2026-05-15","1525","581.36"
"2026-05-16","1529","581.36"
"2026-05-17","1359","561.66"
"2026-05-18","1208","556.73"
"2026-05-19","1163","561.66"
"2026-05-20","1177","551.8"
"2026-05-21","1278","576.44"
"2026-05-22","1360","591.22"
"2026-05-23","1374","606"
"2026-05-24","1199","581.36"
"2026-05-25","1025","556.73"
"2026-05-26","936","546.88"
"2026-05-27","914","551.8"
"2026-05-28","979","576.44"
"2026-05-29","1025","601.07"
"2026-05-30","1014","601.07"
"2026-05-31","873","561.66"
"2026-06-01","778","551.8"
"2026-06-02","877","551.8"
"2026-06-03","1263","615.85"
"2026-06-04","1827","660.19"
"2026-06-05","1982","679.9"
"2026-06-06","1919","679.9"
"2026-06-07","1311","615.85"
"2026-06-08","836","571.51"
"2026-06-09","698","527.17"
"2026-06-10","673","537.02"
"2026-06-11","736","551.8"
"2026-06-12","837","576.44"
"2026-06-13","854","576.44"
"2026-06-14","733","546.88"
"2026-06-15","624","532.09"
"2026-06-16","602","527.17"
"2026-06-17","590","551.8"
"2026-06-18","660","546.88"
"2026-06-19","702","581.36"
"2026-06-20","704","576.44"
"2026-06-21","626","561.66"
"2026-06-22","585","546.88"
"2026-06-23","568","537.02"
"2026-06-24","562","541.95"
"2026-06-25","573","561.66"
"2026-06-26","583","566.58"
"2026-06-27","572","556.73"
"2026-06-28","547","561.66"
"2026-06-29","523","551.8"
"2026-06-30","506","546.88"
"2026-07-01","500","571.51"
"2026-07-02","540","576.44"
"2026-07-03","575","606"
"2026-07-04","575","601.07"
"2026-07-05","555","586.29"
"2026-07-06","535","566.58"
"2026-07-07","533","571.51"
"2026-07-08","556","581.36"
"2026-07-09","602","576.44"
"2026-07-10","626","596.14"
"2026-07-11","636","610.92"
"2026-07-12","587","596.14"
"2026-07-13","563","581.36"
"2026-07-14","539","576.44"
"2026-07-15","529","581.36"
"2026-07-16","536","576.44"
"2026-07-17","562","615.85"
"2026-07-18","598","610.92"
"2026-07-19","585","601.07"
"2026-07-20","564","586.29"
"2026-07-21","565","581.36"
"2026-07-22","568","576.44"
"2026-07-23","590","591.22"
"2026-07-24","603","610.92"
"2026-07-25","600","610.92"
"2026-07-26","565","596.14"
"2026-07-27","556","581.36"
"2026-07-28","533","571.51"
"2026-07-29","521","571.51"
"2026-07-30","513","586.29"
"2026-07-31","497","620.78"
"2026-08-01","465","596.14"
"2026-08-02","426","591.22"
"2026-08-03","404","566.58"
"2026-08-04","406","581.36"
"2026-08-05","404","596.14"
"2026-08-06","458","601.07"
"2026-08-07","496","620.78"
"2026-08-08","529","620.78"
"2026-08-09","517","615.85"
"2026-08-10","508","586.29"
"2026-08-11","485","576.44"
"2026-08-12","461","576.44"
"2026-08-13","465","576.44"
"2026-08-14","510","615.85"
"2026-08-15","503","630.63"
"2026-08-16","453","596.14"
"2026-08-17","413","601.07"
"2026-08-18","389","620.78"
"2026-08-19","369","581.36"
"2026-08-20","365","610.92"
"2026-08-21","363","650.34"
"2026-08-22","346","650.34"
"2026-08-23","320","610.92"
"2026-08-24","300","571.51"
"2026-08-25","294","551.8"
"2026-08-26","286","532.09"
"2026-08-27","286","551.8"
"2026-08-28","305","610.92"
"2026-08-29","315","650.34"
"2026-08-30","285","591.22"
"2026-08-31","253","581.36"
"2026-09-01","255","541.95"
"2026-09-02","279","561.66"
"2026-09-03","340","596.14"
"2026-09-04","456","630.63"
"2026-09-05","518","645.41"
"2026-09-06","517","635.56"
"2026-09-07","479","620.78"
"2026-09-08","367","610.92"
"2026-09-09","353","601.07"
"2026-09-10","420","581.36"
"2026-09-11","475","610.92"
"2026-09-12","454","601.07"
"2026-09-13","384","581.36"
"2026-09-14","285","556.73"
"2026-09-15","249","551.8"
"2026-09-16","224","546.88"
"2026-09-17","226","561.66"
"2026-09-18","224","591.22"
"2026-09-19","224","586.29"
"2026-09-20","211","586.29"
"2026-09-21","205","571.51"
"2026-09-22","203","566.58"
"2026-09-23","209","571.51"
"2026-09-24","239","625.7"
"2026-09-25","254","625.7"
"2026-09-26","262","640.48"
"2026-09-27","248","630.63"
"2026-09-28","212","586.29"
"2026-09-29","192","566.58"
"2026-09-30","178","566.58"
"2026-10-01","172","566.58"
"2026-10-02","178","576.44"
"2026-10-03","174","586.29"
"2026-10-04","156","566.58"
"2026-10-05","156","566.58"
"2026-10-06","149","556.73"
"2026-10-07","167","566.58"
"2026-10-08","188","615.85"
"2026-10-09","226","645.41"
"2026-10-10","246","645.41"
"2026-10-11","239","665.12"
"2026-10-12","216","635.56"
"2026-10-13","188","571.51"
"2026-10-14","182","576.44"
"2026-10-15","184","576.44"
"2026-10-16","181","610.92"
"2026-10-17","172","610.92"
"2026-10-18","162","571.51"
"2026-10-19","145","551.8"
"2026-10-20","145","546.88"
"2026-10-21","143","537.02"
"2026-10-22","141","532.09"
"2026-10-23","145","566.58"
"2026-10-24","152","576.44"
"2026-10-25","152","571.51"
"2026-10-26","156","566.58"
"2026-10-27","154","541.95"
"2026-10-28","150","566.58"
"2026-10-29","146","566.58"
"2026-10-30","148","679.9"
"2026-10-31","149","635.56"
