"Date","Revenue"
"2023-05-01","7708.72"
"2023-06-01","7406.62"
"2023-07-01","9932.99"
"2023-08-01","9253.15"
"2023-09-01","9228.15"
"2023-10-01","9832.24"
"2023-11-01","11104.17"
"2023-12-01","10133.01"
"2024-01-01","12195.69"
"2024-02-01","12421.23"
"2024-03-01","10957.83"
"2024-04-01","10817.17"
"2024-05-01","8206.2"
"2024-06-01","7908.32"
"2024-07-01","10867.02"
"2024-08-01","10503.34"
"2024-09-01","11703.63"
"2024-10-01","11069.77"
"2024-11-01","11911.4"
"2024-12-01","11453.69"
"2025-01-01","14830.38"
"2025-02-01","13349.89"
"2025-03-01","14673.87"
"2025-04-01","12577.45"
"2025-05-01","9150.59"
"2025-06-01","8772.09"
"2025-07-01","11631.08"
"2025-08-01","11134.98"
"2025-09-01","10840.24"
"2025-10-01","11948.18"
"2025-11-01","12441.94"
"2025-12-01","12680.73"
"2026-01-01","16907"
"2026-02-01","17197.75"
"2026-03-01","15736.54"
"2026-04-01","12435.34"
