"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","5657.13","8819.5","11218.09","14758.46","26292.74","31740.36"
"2023-06-01","5332.52","7905.14","11363.31","16552.57","21525.01","37580.24"
"2023-07-01","6718.4","11615.89","15133.51","19250.56","11751.09","33745.6"
"2023-08-01","6580.56","10488.02","13704.1","18263.36","15289.73","34901.65"
"2023-09-01","6458.29","10324","13878.83","19423.19","39183.48","42231.52"
"2023-10-01","7227.89","11089.29","14013.62","18826.64","15945.69","36620.42"
"2023-11-01","7596.48","12748.67","15655.9","22385.8","60079.79","51462.4"
"2023-12-01","7174.03","11083.87","14780.63","26187.46","69089.7","62248.11"
"2024-01-01","8428.56","13900.55","17768.47","24155.83","50171.26","77717.85"
"2024-02-01","8222.69","13310.64","20360.14","29538.12","35161.01","44109.35"
"2024-03-01","7708.9","12068.76","16347.23","24240.35","23626.75","48535.07"
"2024-04-01","6781.62","11477.76","18388.65","26767.63","35442","58929.83"
"2024-05-01","6023.84","9091.19","11899.47","19153.83","19086.3","13656.29"
"2024-06-01","5726.2","8728.1","11435.34","18655.99","20335.88","22678.97"
"2024-07-01","7416.07","12629.22","16546.49","22641.07","15993.11","29595.18"
"2024-08-01","7323.46","11977.13","15997.13","23906.76","14717.59","20901.36"
"2024-09-01","8024.95","12663.92","18680.97","27771.48","35065.3","47236.33"
"2024-10-01","7791.09","12589.32","16778.28","25723.65","20752.58","42686.74"
"2024-11-01","8163.44","12856.19","18918.06","30790.73","36150.82","47739.33"
"2024-12-01","8161.77","13361.87","16378.96","23493.64","26579.2","39714.71"
"2025-01-01","10924.06","16602.37","21593.62","28791.54","42510.82","66717.94"
"2025-02-01","9274.94","15380.85","18502.07","30613.32","35201.45","36232.86"
"2025-03-01","10093.47","16503.67","21673.68","31501.42","71601.72","60598.89"
"2025-04-01","8228.77","13804.74","19335.14","34544.66","59226.44","55663.7"
"2025-05-01","6729.4","10206.53","12939.79","26232.14","21858.89","31890.73"
"2025-06-01","6298.82","9805","12369.83","25583.45","26709.42","40988.29"
"2025-07-01","7910.84","13258.19","17575.17","35425.81","26512.49","25788.54"
"2025-08-01","7856.43","12561.26","17190.27","26895.31","31526.7","12646.22"
"2025-09-01","7716.82","12315.07","16275.32","29163.26","37964.26","18661.61"
"2025-10-01","8830.4","13839.36","17153.6","26552.58","32189.14","31156.76"
"2025-11-01","8800.4","14075.31","17925.66","35626.94","36925.16","47880.52"
"2025-12-01","9070.4","14480.97","18640.48","34711.91","54311.48","59779.18"
"2026-01-01","11699.39","19567.06","24602.43","51993.09","64115.43","40252.63"
"2026-02-01","12054.66","19440.63","26221.05","46825.39","46305.44","61684.54"
"2026-03-01","11168.51","18056.49","23069.92","44394.28","47330.37","56210.08"
"2026-04-01","9072.72","14154.66","17397.95","35544.58","31692.39","29284.23"
