"Date","Unique","B&B","Apartment","House"
"2023-05-01","1466.82","7617.68","12130657.59","78572.64"
"2023-06-01","894.79","8375.43","12663826.64","110723.12"
"2023-07-01","3409.94","8308.73","16425555.41","71349.43"
"2023-08-01","1914.13","4431.4","15060136.65","99434.88"
"2023-09-01","1844.41","9246.36","16646290.58","91704.4"
"2023-10-01","2752.09","12321.27","18755753.62","97237"
"2023-11-01","2397.16","29787.05","24923587.28","128537.49"
"2023-12-01","3945.55","21446.19","25205895.1","151910.89"
"2024-01-01","5038.69","18267.67","31468955.99","204334.3"
"2024-02-01","4068.65","33419.6","36313541.94","316434.23"
"2024-03-01","5251.22","10622.35","24349874.97","245528.29"
"2024-04-01","881.48","4257.05","23172667.02","154835.35"
"2024-05-01","2018.1","15410.44","19987346","116828.73"
"2024-06-01","1209.21","15109.79","17903527.4","111119.02"
"2024-07-01","","14454.35","22758342.01","91411.61"
"2024-08-01","","20458.77","22326618.27","88051.19"
"2024-09-01","3155.57","22624.3","31140864.36","128854.26"
"2024-10-01","457.93","15309.68","24653360.08","105008.09"
"2024-11-01","4701.33","19332.83","32033128.33","115515.82"
"2024-12-01","3504.59","15704.2","35302195.91","162111.6"
"2025-01-01","4660.62","14980.12","46443282.79","223120.19"
"2025-02-01","4221.48","43013.47","43176337.46","163570.98"
"2025-03-01","7360.12","60679.32","49843608.82","243653.83"
"2025-04-01","3967.23","25704.61","38864496.01","146222.57"
"2025-05-01","3000.52","21765.12","26601920.88","111348.76"
"2025-06-01","1602.19","15844.47","23929935.75","96918.51"
"2025-07-01","","24694.97","27436702.53","115887.95"
"2025-08-01","529.29","19810.52","26729484.36","130015.96"
"2025-09-01","1052.71","6821.32","25972414.88","112161.08"
"2025-10-01","8159.84","11217.74","28800844.88","130219.54"
"2025-11-01","6467.76","1493.78","34827123.93","164104.28"
"2025-12-01","11761.17","11501.25","41329528.72","239988.5"
"2026-01-01","5890.23","25934.21","58838583.44","253376.66"
"2026-02-01","9457.55","13095.46","63160464.25","293883.31"
"2026-03-01","2260.17","3758.07","46408779.84","181085.71"
"2026-04-01","2971.37","1268.45","36849503.69","104072.88"
