"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","424","305","151","15","4","1"
"2023-06-01","435","309","150","12","3","1"
"2023-07-01","457","302","156","14","3","1"
"2023-08-01","436","287","137","11","3","1"
"2023-09-01","456","305","152","7","3","1"
"2023-10-01","484","317","160","8","3","1"
"2023-11-01","551","357","182","14","4","1"
"2023-12-01","649","432","206","21","4","1"
"2024-01-01","649","449","194","22","4","1"
"2024-02-01","717","499","230","27","5","2"
"2024-03-01","716","494","219","23","5","2"
"2024-04-01","593","398","152","13","5","1"
"2024-05-01","625","441","166","12","6","1"
"2024-06-01","609","422","161","10","5","1"
"2024-07-01","553","364","147","9","3","1"
"2024-08-01","551","346","146","8","4","1"
"2024-09-01","636","420","165","13","4","1"
"2024-10-01","637","422","162","14","3","1"
"2024-11-01","650","434","168","15","5","1"
"2024-12-01","787","514","200","13","6","1"
"2025-01-01","830","514","205","15","5","1"
"2025-02-01","867","561","237","21","5","1"
"2025-03-01","916","579","238","24","5","1"
"2025-04-01","874","541","226","22","6","2"
"2025-05-01","867","500","200","20","5","2"
"2025-06-01","804","481","189","15","5","1"
"2025-07-01","768","462","183","12","6","1"
"2025-08-01","701","407","158","13","5","1"
"2025-09-01","719","391","149","11","3","1"
"2025-10-01","716","386","148","10","3","1"
"2025-11-01","767","452","173","11","4","1"
"2025-12-01","904","531","217","16","4","1"
"2026-01-01","942","564","226","18","4","2"
"2026-02-01","969","640","246","20","4","2"
"2026-03-01","945","598","241","20","4","2"
"2026-04-01","823","501","192","13","3","2"
