"Date","Listing Days Booked","Booked Listings"
"2023-05-01","12320","790"
"2023-06-01","12709","872"
"2023-07-01","15982","827"
"2023-08-01","14659","802"
"2023-09-01","15070","877"
"2023-10-01","16318","920"
"2023-11-01","20614","1093"
"2023-12-01","18026","1197"
"2024-01-01","20099","1216"
"2024-02-01","22354","1443"
"2024-03-01","18157","1062"
"2024-04-01","16600","1035"
"2024-05-01","16661","1181"
"2024-06-01","15143","1146"
"2024-07-01","18833","985"
"2024-08-01","18007","991"
"2024-09-01","20016","1199"
"2024-10-01","18779","1028"
"2024-11-01","21645","1252"
"2024-12-01","22775","1456"
"2025-01-01","29612","1517"
"2025-02-01","28520","1662"
"2025-03-01","31176","1727"
"2025-04-01","26475","1554"
"2025-05-01","21233","1432"
"2025-06-01","20588","1441"
"2025-07-01","23451","1193"
"2025-08-01","22654","1193"
"2025-09-01","21022","1171"
"2025-10-01","22585","1184"
"2025-11-01","24288","1365"
"2025-12-01","26029","1608"
"2026-01-01","33373","1692"
"2026-02-01","31622","1830"
"2026-03-01","29307","1432"
"2026-04-01","25615","1457"
