"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.34"
"2024-05-01","4.65"
"2024-06-01","5.87"
"2024-07-01","6.08"
"2024-08-01","5.48"
"2024-09-01","5.1"
"2024-10-01","5.51"
"2024-11-01","5.13"
"2024-12-01","5.68"
"2025-01-01","5.97"
"2025-02-01","5.48"
"2025-03-01","5.81"
"2025-04-01","5.12"
"2025-05-01","4.86"
"2025-06-01","5.21"
"2025-07-01","5.56"
"2025-08-01","5.43"
"2025-09-01","5.13"
"2025-10-01","4.87"
"2025-11-01","5"
"2025-12-01","5.45"
"2026-01-01","5.82"
"2026-02-01","5.32"
"2026-03-01","5.55"
"2026-04-01","4.84"
