"Date","Occupancy"
"2023-05-01","53.54"
"2023-06-01","56.07"
"2023-07-01","68.72"
"2023-08-01","63.83"
"2023-09-01","62.69"
"2023-10-01","64.36"
"2023-11-01","68.8"
"2023-12-01","57.75"
"2024-01-01","58.82"
"2024-02-01","62.45"
"2024-03-01","51.61"
"2024-04-01","55.17"
"2024-05-01","55.85"
"2024-06-01","47.44"
"2024-07-01","66.13"
"2024-08-01","63.24"
"2024-09-01","64.21"
"2024-10-01","57.65"
"2024-11-01","66.37"
"2024-12-01","64.38"
"2025-01-01","70.04"
"2025-02-01","78.18"
"2025-03-01","63.89"
"2025-04-01","65.17"
"2025-05-01","50.04"
"2025-06-01","58.86"
"2025-07-01","61.06"
"2025-08-01","65.3"
"2025-09-01","62.79"
"2025-10-01","66.19"
"2025-11-01","67.87"
"2025-12-01","64.7"
"2026-01-01","70.07"
"2026-02-01","73.36"
"2026-03-01","61.5"
"2026-04-01","63.98"
