"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","381.33","557.25","823.34","1388.64","1075.44","2650.67"
"2023-06-01","398.9","574.69","774.93","1205.46","1029.49","3262.46"
"2023-07-01","388.18","577.46","774.22","1004.03","1054.2","3161.16"
"2023-08-01","386.76","554.34","753.91","1211.59","1322.48","3517.44"
"2023-09-01","395.12","594.97","850.71","1353.14","1258.42","3552.87"
"2023-10-01","409.39","596.63","843.78","1071.56","1281.15","3529.74"
"2023-11-01","417.72","631.84","863.1","1403.21","1041.27","2741.66"
"2023-12-01","519.68","734.39","895.94","2929.31","1053.11","3060.11"
"2024-01-01","551.73","810.74","1006.25","2763.48","4416.94","3064.07"
"2024-02-01","576.96","896.12","1179.52","3773.48","7587.35","3400.69"
"2024-03-01","504.46","708.79","975.96","2097.07","8459.9","5434.72"
"2024-04-01","484.92","740.15","983.89","2454.12","5878.71","5905.95"
"2024-05-01","471.19","652.97","869.16","1491.02","1793.24","5023.16"
"2024-06-01","484.46","702.77","884.6","1248.28","2302.69","6766.7"
"2024-07-01","481.02","688.75","861.75","1162.61","2945.55","5985.21"
"2024-08-01","466.87","670.9","890.96","1392.46","3124.21","6308.26"
"2024-09-01","526.85","796.02","1068.78","3140.21","3174.57","6228.15"
"2024-10-01","483.66","690.43","893.01","1581.36","3324.1","8159.88"
"2024-11-01","499.01","775.68","1044.81","1739.31","4919.58","10762.8"
"2024-12-01","573.56","886.8","1087.38","1886.22","6752.26","10627.87"
"2025-01-01","584.15","915.76","1188.93","2139.08","4882.05","9858.79"
"2025-02-01","575.41","910.92","1249.08","2066.39","7640.78","11961.69"
"2025-03-01","591.5","969.95","1292.37","2036.97","8325.67","9510.97"
"2025-04-01","552.28","984.46","1145.83","1421.85","4311.14","6156.37"
"2025-05-01","514.3","943.1","988.47","1449.8","3354.85","7881.76"
"2025-06-01","495","740.23","955.23","1498.16","3145.85","6841.18"
"2025-07-01","488.87","735.21","991.08","1428.91","5379.74","7364.58"
"2025-08-01","469.28","696.27","953.29","1646.96","5122.66","8155.13"
"2025-09-01","481.74","699.45","1012.49","1418.65","4483.91","9750.32"
"2025-10-01","511.05","766.16","1051.73","1631.53","4190.85","9374.85"
"2025-11-01","543.12","840.92","1276.86","2356.19","5609.33","10686.28"
"2025-12-01","632.4","1014.24","1572.89","2983.15","4753.73","8317.78"
"2026-01-01","676.98","1069.38","1622.24","2219.55","7532.59","5833.75"
"2026-02-01","766.73","1233.81","1809.63","3317.63","10942.88","5108.59"
"2026-03-01","576.55","882.56","1288.05","2105.71","7873.9","6925.63"
"2026-04-01","552.7","871.15","1234.71","2173.65","3736.51","2898.42"
