"Date","Daily Rate"
"2023-05-01","515"
"2023-06-01","528"
"2023-07-01","523"
"2023-08-01","508"
"2023-09-01","533"
"2023-10-01","537"
"2023-11-01","558"
"2023-12-01","667"
"2024-01-01","734"
"2024-02-01","832"
"2024-03-01","683"
"2024-04-01","684"
"2024-05-01","591"
"2024-06-01","621"
"2024-07-01","621"
"2024-08-01","606"
"2024-09-01","713"
"2024-10-01","623"
"2024-11-01","687"
"2024-12-01","774"
"2025-01-01","796"
"2025-02-01","806"
"2025-03-01","834"
"2025-04-01","785"
"2025-05-01","711"
"2025-06-01","640"
"2025-07-01","659"
"2025-08-01","619"
"2025-09-01","627"
"2025-10-01","667"
"2025-11-01","750"
"2025-12-01","901"
"2026-01-01","947"
"2026-02-01","1086"
"2026-03-01","791"
"2026-04-01","752"
