"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","320","317","425","465","669"
"2023-06-01","307","354","440","475","678"
"2023-07-01","365","345","450","488","644"
"2023-08-01","356","324","444","465","637"
"2023-09-01","374","315","441","474","693"
"2023-10-01","377","320","461","486","681"
"2023-11-01","421","335","420","491","727"
"2023-12-01","380","412","489","572","906"
"2024-01-01","356","424","508","620","1012"
"2024-02-01","393","435","544","670","1174"
"2024-03-01","304","370","455","579","953"
"2024-04-01","296","352","427","587","950"
"2024-05-01","319","372","419","547","787"
"2024-06-01","321","382","445","552","834"
"2024-07-01","306","387","462","586","804"
"2024-08-01","299","378","444","558","799"
"2024-09-01","362","425","509","652","947"
"2024-10-01","330","370","450","585","803"
"2024-11-01","389","387","471","613","931"
"2024-12-01","440","488","543","700","1019"
"2025-01-01","409","477","559","704","1062"
"2025-02-01","352","432","535","674","1114"
"2025-03-01","370","426","531","695","1146"
"2025-04-01","351","430","494","624","1087"
"2025-05-01","339","385","456","586","997"
"2025-06-01","360","377","451","563","840"
"2025-07-01","348","386","481","576","866"
"2025-08-01","335","348","443","554","811"
"2025-09-01","319","341","447","544","826"
"2025-10-01","328","366","471","570","887"
"2025-11-01","429","381","492","616","1009"
"2025-12-01","327","476","578","735","1227"
"2026-01-01","402","505","644","786","1243"
"2026-02-01","423","557","701","856","1444"
"2026-03-01","379","423","530","631","1038"
"2026-04-01","380","428","515","611","961"
