"Date","Booked Listings","Daily Rate"
"2026-05-14","629","615.85"
"2026-05-15","723","630.63"
"2026-05-16","732","635.56"
"2026-05-17","595","620.78"
"2026-05-18","464","591.22"
"2026-05-19","459","596.14"
"2026-05-20","486","596.14"
"2026-05-21","565","625.7"
"2026-05-22","615","630.63"
"2026-05-23","618","645.41"
"2026-05-24","502","630.63"
"2026-05-25","418","606"
"2026-05-26","387","620.78"
"2026-05-27","386","620.78"
"2026-05-28","437","645.41"
"2026-05-29","501","660.19"
"2026-05-30","485","635.56"
"2026-05-31","395","620.78"
"2026-06-01","296","606"
"2026-06-02","359","620.78"
"2026-06-03","638","660.19"
"2026-06-04","1041","739.02"
"2026-06-05","1133","729.17"
"2026-06-06","1069","729.17"
"2026-06-07","633","679.9"
"2026-06-08","364","610.92"
"2026-06-09","281","586.29"
"2026-06-10","269","615.85"
"2026-06-11","342","620.78"
"2026-06-12","415","630.63"
"2026-06-13","418","610.92"
"2026-06-14","369","610.92"
"2026-06-15","280","596.14"
"2026-06-16","253","596.14"
"2026-06-17","259","596.14"
"2026-06-18","321","645.41"
"2026-06-19","366","655.26"
"2026-06-20","366","640.48"
"2026-06-21","298","610.92"
"2026-06-22","236","546.88"
"2026-06-23","226","571.51"
"2026-06-24","239","581.36"
"2026-06-25","250","581.36"
"2026-06-26","256","581.36"
"2026-06-27","260","606"
"2026-06-28","242","615.85"
"2026-06-29","213","630.63"
"2026-06-30","204","640.48"
"2026-07-01","214","650.34"
"2026-07-02","229","640.48"
"2026-07-03","241","620.78"
"2026-07-04","239","606"
"2026-07-05","229","576.44"
"2026-07-06","212","566.58"
"2026-07-07","213","586.29"
"2026-07-08","231","591.22"
"2026-07-09","265","625.7"
"2026-07-10","274","640.48"
"2026-07-11","273","640.48"
"2026-07-12","244","615.85"
"2026-07-13","222","601.07"
"2026-07-14","219","630.63"
"2026-07-15","237","630.63"
"2026-07-16","242","645.41"
"2026-07-17","250","665.12"
"2026-07-18","252","674.97"
"2026-07-19","233","655.26"
"2026-07-20","219","645.41"
"2026-07-21","232","635.56"
"2026-07-22","245","645.41"
"2026-07-23","250","650.34"
"2026-07-24","258","645.41"
"2026-07-25","260","660.19"
"2026-07-26","239","660.19"
"2026-07-27","214","660.19"
"2026-07-28","205","630.63"
"2026-07-29","209","620.78"
"2026-07-30","202","660.19"
"2026-07-31","180","679.9"
"2026-08-01","182","660.19"
"2026-08-02","160","660.19"
"2026-08-03","162","645.41"
"2026-08-04","157","630.63"
"2026-08-05","164","596.14"
"2026-08-06","189","660.19"
"2026-08-07","212","635.56"
"2026-08-08","210","645.41"
"2026-08-09","196","635.56"
"2026-08-10","190","620.78"
"2026-08-11","179","635.56"
"2026-08-12","174","679.9"
"2026-08-13","213","679.9"
"2026-08-14","280","684.83"
"2026-08-15","312","699.61"
"2026-08-16","263","684.83"
"2026-08-17","196","665.12"
"2026-08-18","175","640.48"
"2026-08-19","167","650.34"
"2026-08-20","170","679.9"
"2026-08-21","173","694.68"
"2026-08-22","174","743.95"
"2026-08-23","156","684.83"
"2026-08-24","153","640.48"
"2026-08-25","140","655.26"
"2026-08-26","133","640.48"
"2026-08-27","136","630.63"
"2026-08-28","141","645.41"
"2026-08-29","139","650.34"
"2026-08-30","135","635.56"
"2026-08-31","119","610.92"
"2026-09-01","115","576.44"
"2026-09-02","125","576.44"
"2026-09-03","162","586.29"
"2026-09-04","199","650.34"
"2026-09-05","230","665.12"
"2026-09-06","231","674.97"
"2026-09-07","198","610.92"
"2026-09-08","144","556.73"
"2026-09-09","126","527.17"
"2026-09-10","153","527.17"
"2026-09-11","170","551.8"
"2026-09-12","177","551.8"
"2026-09-13","140","537.02"
"2026-09-14","114","487.75"
"2026-09-15","95","512.39"
"2026-09-16","92","532.09"
"2026-09-17","97","620.78"
"2026-09-18","105","640.48"
"2026-09-19","110","684.83"
"2026-09-20","96","640.48"
"2026-09-21","91","586.29"
"2026-09-22","86","601.07"
"2026-09-23","83","586.29"
"2026-09-24","89","606"
"2026-09-25","111","635.56"
"2026-09-26","115","763.65"
"2026-09-27","111","704.53"
"2026-09-28","87","640.48"
"2026-09-29","81","576.44"
"2026-09-30","78","566.58"
"2026-10-01","77","556.73"
"2026-10-02","68","507.46"
"2026-10-03","69","571.51"
"2026-10-04","70","601.07"
"2026-10-05","63","551.8"
"2026-10-06","64","537.02"
"2026-10-07","73","537.02"
"2026-10-08","80","591.22"
"2026-10-09","78","571.51"
"2026-10-10","84","596.14"
"2026-10-11","82","581.36"
"2026-10-12","73","586.29"
"2026-10-13","64","586.29"
"2026-10-14","64","537.02"
"2026-10-15","66","606"
"2026-10-16","74","606"
"2026-10-17","73","561.66"
"2026-10-18","66","551.8"
"2026-10-19","65","551.8"
"2026-10-20","65","591.22"
"2026-10-21","68","576.44"
"2026-10-22","70","591.22"
"2026-10-23","77","596.14"
"2026-10-24","76","650.34"
"2026-10-25","77","665.12"
"2026-10-26","64","615.85"
"2026-10-27","54","556.73"
"2026-10-28","55","640.48"
"2026-10-29","54","650.34"
"2026-10-30","58","670.05"
"2026-10-31","63","670.05"
