"Date","Revenue"
"2023-05-01","8032.57"
"2023-06-01","7690.94"
"2023-07-01","10109.79"
"2023-08-01","9279.28"
"2023-09-01","9153.02"
"2023-10-01","9523.46"
"2023-11-01","10531.06"
"2023-12-01","10050.24"
"2024-01-01","12130.78"
"2024-02-01","12890.59"
"2024-03-01","11668.73"
"2024-04-01","10972.44"
"2024-05-01","8331.29"
"2024-06-01","8211.09"
"2024-07-01","11867.26"
"2024-08-01","11012.6"
"2024-09-01","11910.34"
"2024-10-01","11385.46"
"2024-11-01","11879.54"
"2024-12-01","12106.14"
"2025-01-01","15534.88"
"2025-02-01","13836.15"
"2025-03-01","15058.54"
"2025-04-01","13372.4"
"2025-05-01","10537.64"
"2025-06-01","9148.51"
"2025-07-01","12957.14"
"2025-08-01","11755.25"
"2025-09-01","11262.68"
"2025-10-01","12726.37"
"2025-11-01","13345.1"
"2025-12-01","14588.9"
"2026-01-01","18675.43"
"2026-02-01","18766.92"
"2026-03-01","16182.45"
"2026-04-01","13213.85"
