"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","6231.34","8624.66","11383.01","14657.88","23301.26","21205.32"
"2023-06-01","6050.28","8219.08","10608.56","12295.67","17501.33","39149.49"
"2023-07-01","7638.32","11335.66","13941.76","13691.3","26003.59","63223.2"
"2023-08-01","7360.76","9673.91","13331.39","19654.69","22923.01","59796.51"
"2023-09-01","7469.45","9243.83","12965.73","22423.44","21393.15","53293.09"
"2023-10-01","7819.36","9879.33","13322.57","18484.42","20498.39","45886.61"
"2023-11-01","8538.37","11222.71","14370.14","18542.41","15879.38","54833.26"
"2023-12-01","8526.13","10177.58","11894.41","37104.62","21413.25","39781.37"
"2024-01-01","9881.91","12543.85","14799.49","35530.42","73983.82","9192.2"
"2024-02-01","9602.5","13259.96","16306.07","44828.92","115327.71","40808.32"
"2024-03-01","9058.83","11724.91","14770.42","36793.97","214317.4","59781.97"
"2024-04-01","8235.45","10846.46","15486.96","44843.5","102289.54","88589.19"
"2024-05-01","7305.76","8471.02","10151.53","20061","25463.95","75347.37"
"2024-06-01","6923.59","8554.74","10615.22","15118.14","24869.09","108267.21"
"2024-07-01","9209.76","13211.81","16373.35","19893.55","64802.1","65837.28"
"2024-08-01","8662.91","12015.76","15441.08","26058.79","59360.07","31541.3"
"2024-09-01","9190.59","12909.71","16327.42","42272.05","53967.72","68509.65"
"2024-10-01","9054.19","12710.2","14497.44","24774.59","78670.3","24479.65"
"2024-11-01","9032.75","12982.27","16563.22","26669.33","56083.17","204493.21"
"2024-12-01","9231.64","13826.47","15029.39","32580.09","98583","180673.86"
"2025-01-01","11835.86","17441.89","21072.17","42017.7","92758.87","177458.18"
"2025-02-01","10616.11","14647.74","19020.28","29239.46","136005.85","191387.11"
"2025-03-01","11534.53","16525.1","19970.46","24952.93","166513.35","218752.38"
"2025-04-01","9833.21","16044.16","18100.77","24953.55","52595.86","110814.72"
"2025-05-01","8142.26","13324.74","11907.91","19018","47638.9","157635.16"
"2025-06-01","7583.62","9955.08","11697.69","19130.29","38379.33","95776.47"
"2025-07-01","9753.82","14364.38","18770.74","25958.51","82847.93","162020.8"
"2025-08-01","9212.43","12804.25","17431.63","17609.86","95623.01","187568"
"2025-09-01","9064.65","12049.87","16134.27","20334.03","82205.05","204756.71"
"2025-10-01","10081.41","14458.29","17608.8","20883.64","93595.64","196871.89"
"2025-11-01","10307.63","13948.49","19836.91","46481.13","96760.87","224411.81"
"2025-12-01","10529.28","16131.21","23171.4","48103.29","123596.95","182991.23"
"2026-01-01","13877.65","20795.21","27996.75","39951.83","148768.65","157511.38"
"2026-02-01","14221.6","20267.7","26553.89","46446.83","207914.64","122606.22"
"2026-03-01","12474.29","16899.06","24058.37","40332.52","208658.22","124661.34"
"2026-04-01","10285.74","14306.42","19762.01","40393.56","87185.15","33331.79"
