"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","6278335.46","67395.48"
"2023-06-01","","","6626164.72","80338.72"
"2023-07-01","","","8252770.08","108023.12"
"2023-08-01","","","7332285.24","109693.4"
"2023-09-01","","","7929613.01","97583.14"
"2023-10-01","","","8657628.14","103953.1"
"2023-11-01","","","11389754.01","120694.44"
"2023-12-01","","","11928454.39","101680.5"
"2024-01-01","","","14623921.82","127110.11"
"2024-02-01","","","18349867.52","251256.31"
"2024-03-01","","","12271113.26","121082.85"
"2024-04-01","","","11223413.38","133057.49"
"2024-05-01","","","9725438.33","113809.29"
"2024-06-01","722.32","","9270679.78","138508.19"
"2024-07-01","370.48","","11575544.15","113335.58"
"2024-08-01","2172.61","","10786854.52","124464.4"
"2024-09-01","3781.05","","14148871.05","127839.97"
"2024-10-01","4907.24","","11628812.12","70533.05"
"2024-11-01","6736.06","","14594760.73","271691.45"
"2024-12-01","4241.77","","17366745.54","255545.27"
"2025-01-01","9874.49","","23301638.6","254896.56"
"2025-02-01","8688.26","","22734215.24","252775.43"
"2025-03-01","7796.78","","25725057.09","273243.69"
"2025-04-01","8487.76","","20527660.6","244567.58"
"2025-05-01","2432.24","","14890740.51","196732.82"
"2025-06-01","3880.73","","13043816.94","135298.95"
"2025-07-01","3484.98","","15236808.55","217580.32"
"2025-08-01","4045.28","","13787028.06","232935.59"
"2025-09-01","2982.67","","12927824.77","257790.78"
"2025-10-01","7691.07","","14813412.98","246921.1"
"2025-11-01","10006.23","","17935538.59","270512.51"
"2025-12-01","9059.13","","23211198.31","238694.34"
"2026-01-01","10094.47","","31220253.25","368485.88"
"2026-02-01","7202.77","","34036840.02","299421.09"
"2026-03-01","9845.61","","22990635.65","172791.3"
"2026-04-01","6502.06","","19172545.92","73535.18"
