"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3804","1076","593","104","28","11"
"2023-06-01","3849","1068","598","102","27","10"
"2023-07-01","3930","1068","634","106","27","9"
"2023-08-01","3769","1045","594","110","26","9"
"2023-09-01","4158","1119","630","118","28","11"
"2023-10-01","4420","1210","678","122","32","11"
"2023-11-01","4952","1406","817","135","35","15"
"2023-12-01","6151","1717","977","150","38","16"
"2024-01-01","6193","1737","962","153","26","11"
"2024-02-01","6669","1907","1102","182","40","15"
"2024-03-01","6738","1860","1082","185","44","15"
"2024-04-01","5296","1407","775","138","34","15"
"2024-05-01","6181","1604","848","143","35","15"
"2024-06-01","5650","1442","769","124","32","14"
"2024-07-01","4973","1312","719","121","27","10"
"2024-08-01","4978","1335","733","121","29","17"
"2024-09-01","6305","1706","914","151","43","20"
"2024-10-01","6313","1686","918","147","43","16"
"2024-11-01","6311","1692","925","145","40","19"
"2024-12-01","7608","2104","1098","168","47","21"
"2025-01-01","7766","2145","1132","172","48","22"
"2025-02-01","7862","2208","1213","185","50","24"
"2025-03-01","8319","2294","1270","194","52","24"
"2025-04-01","8108","2204","1209","174","53","23"
"2025-05-01","8220","2185","1142","160","49","18"
"2025-06-01","7342","1860","1020","143","45","17"
"2025-07-01","7157","1836","1009","140","46","15"
"2025-08-01","6614","1669","916","131","34","17"
"2025-09-01","6729","1671","911","135","41","18"
"2025-10-01","6917","1719","936","129","39","17"
"2025-11-01","7844","1981","1084","146","34","19"
"2025-12-01","9676","2529","1342","180","47","20"
"2026-01-01","10020","2687","1405","184","50","20"
"2026-02-01","10395","2843","1493","203","59","26"
"2026-03-01","10071","2697","1413","196","57","24"
"2026-04-01","8626","2276","1156","159","53","18"
