"Date","Listing Days Booked","Booked Listings"
"2023-05-01","84016","4845"
"2023-06-01","82296","5343"
"2023-07-01","100035","5037"
"2023-08-01","98791","5138"
"2023-09-01","107327","5834"
"2023-10-01","119690","6146"
"2023-11-01","145973","7284"
"2023-12-01","120501","8305"
"2024-01-01","144899","8472"
"2024-02-01","149753","9632"
"2024-03-01","124880","7025"
"2024-04-01","107423","6638"
"2024-05-01","117498","8396"
"2024-06-01","103272","7267"
"2024-07-01","126065","6587"
"2024-08-01","122555","6647"
"2024-09-01","152478","8954"
"2024-10-01","138081","7383"
"2024-11-01","157493","8930"
"2024-12-01","157451","10620"
"2025-01-01","211105","10835"
"2025-02-01","195069","11175"
"2025-03-01","218053","11963"
"2025-04-01","175985","10817"
"2025-05-01","162728","11107"
"2025-06-01","147673","9756"
"2025-07-01","164948","8545"
"2025-08-01","165816","8741"
"2025-09-01","166641","8850"
"2025-10-01","179954","9169"
"2025-11-01","191506","10837"
"2025-12-01","198938","13317"
"2026-01-01","267314","13933"
"2026-02-01","258865","14614"
"2026-03-01","237882","11227"
"2026-04-01","205646","11717"
