"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.31"
"2024-05-01","5.19"
"2024-06-01","6.47"
"2024-07-01","6.2"
"2024-08-01","5.7"
"2024-09-01","5.23"
"2024-10-01","5.6"
"2024-11-01","5.29"
"2024-12-01","5.64"
"2025-01-01","6.07"
"2025-02-01","5.67"
"2025-03-01","5.79"
"2025-04-01","5"
"2025-05-01","5.21"
"2025-06-01","5.77"
"2025-07-01","5.83"
"2025-08-01","5.64"
"2025-09-01","5.63"
"2025-10-01","5.22"
"2025-11-01","5.26"
"2025-12-01","5.45"
"2026-01-01","5.82"
"2026-02-01","5.57"
"2026-03-01","5.67"
"2026-04-01","4.98"
