"Date","Occupancy"
"2023-05-01","56.59"
"2023-06-01","56.18"
"2023-07-01","67.99"
"2023-08-01","66.75"
"2023-09-01","66.44"
"2023-10-01","68.67"
"2023-11-01","72.52"
"2023-12-01","56.73"
"2024-01-01","59.54"
"2024-02-01","61.37"
"2024-03-01","52.88"
"2024-04-01","54.37"
"2024-05-01","50.87"
"2024-06-01","49.59"
"2024-07-01","67.06"
"2024-08-01","62.64"
"2024-09-01","66.82"
"2024-10-01","57.17"
"2024-11-01","67.13"
"2024-12-01","61.99"
"2025-01-01","68.04"
"2025-02-01","78.34"
"2025-03-01","63.38"
"2025-04-01","62.32"
"2025-05-01","50.39"
"2025-06-01","60.43"
"2025-07-01","59.94"
"2025-08-01","65.04"
"2025-09-01","66.16"
"2025-10-01","67.81"
"2025-11-01","67.79"
"2025-12-01","61.8"
"2026-01-01","67.53"
"2026-02-01","74.04"
"2026-03-01","62.19"
"2026-04-01","64.83"
