"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","235.52","385.54","610.92","849.11","2320.46","2352.07"
"2023-06-01","239.4","398.34","639.04","898.4","1965.07","2202.23"
"2023-07-01","238.49","396.93","619.38","908.89","2169.75","2530.25"
"2023-08-01","239.43","402.53","612.88","1050.88","2677.02","2221.63"
"2023-09-01","249.19","411.42","653.48","970.97","2678.77","2330.22"
"2023-10-01","263.53","429.36","637.48","950.18","2211.8","2321.24"
"2023-11-01","266.51","441.56","683.18","952.52","2429.89","2788.67"
"2023-12-01","331.28","536.75","838.45","1125.04","2734.81","2674.09"
"2024-01-01","353.94","567.24","995.09","1368.65","2562.02","2692.35"
"2024-02-01","360.65","603.03","986.35","1450.51","4182.05","3875.53"
"2024-03-01","299.54","486.49","848.5","1076.95","1712.29","2366.79"
"2024-04-01","292.89","492.63","871.01","1164.33","2345.22","2700.97"
"2024-05-01","288.45","458.67","745.11","997.21","2482.71","2331.57"
"2024-06-01","282.31","457.01","719.05","970.62","1637.59","2388.61"
"2024-07-01","276.93","459","699.67","958.32","1615.57","2349.62"
"2024-08-01","271.48","446.64","701.32","1085.88","3493.12","5250.67"
"2024-09-01","342.61","556.32","886.71","1217.84","3669.17","3555.13"
"2024-10-01","292.35","489.74","734.57","1022.84","2109.8","2339.24"
"2024-11-01","310.33","524.36","811.29","1258.94","1887.24","6560.05"
"2024-12-01","371.52","606.02","905.59","1418.6","1719.84","5902.79"
"2025-01-01","385.77","610.3","957.06","1589.15","2251.82","11467.29"
"2025-02-01","359.23","587.68","935.27","1558.17","2458.77","12807.09"
"2025-03-01","381.01","625.54","1000.71","1446.32","4042.12","8388.76"
"2025-04-01","338.2","561.57","911.44","1268.36","2913.99","3219.28"
"2025-05-01","329.91","522.8","775.83","1116.16","2255.93","4656.63"
"2025-06-01","299.78","480.48","735.37","1094.66","1999.06","6450.92"
"2025-07-01","284.84","472.37","717.38","987.78","2514.23","4083.83"
"2025-08-01","278.79","452.45","701.51","1076.39","2100.99","3375.36"
"2025-09-01","282.77","458.3","724.92","1031.69","3010.97","2736.8"
"2025-10-01","298.58","484.32","745.2","1083.8","1682.8","2411.05"
"2025-11-01","321.34","522.74","817.02","1243.04","1842.11","3379.9"
"2025-12-01","394.6","613.12","933.66","1257.8","2894.47","4216.87"
"2026-01-01","429.78","684.8","1034.44","1557.58","2588.7","6646.96"
"2026-02-01","489.58","779.2","1130.8","1761.5","3693.36","6805.56"
"2026-03-01","362.6","586.13","880.89","1355.53","2234.57","3840.14"
"2026-04-01","343.57","551.12","840.36","1226.64","2838.05","2688.74"
