"Date","Daily Rate"
"2023-05-01","312"
"2023-06-01","324"
"2023-07-01","329"
"2023-08-01","327"
"2023-09-01","338"
"2023-10-01","346"
"2023-11-01","362"
"2023-12-01","432"
"2024-01-01","474"
"2024-02-01","503"
"2024-03-01","402"
"2024-04-01","403"
"2024-05-01","371"
"2024-06-01","365"
"2024-07-01","364"
"2024-08-01","364"
"2024-09-01","460"
"2024-10-01","382"
"2024-11-01","425"
"2024-12-01","486"
"2025-01-01","520"
"2025-02-01","503"
"2025-03-01","519"
"2025-04-01","461"
"2025-05-01","420"
"2025-06-01","391"
"2025-07-01","380"
"2025-08-01","367"
"2025-09-01","370"
"2025-10-01","384"
"2025-11-01","419"
"2025-12-01","498"
"2026-01-01","555"
"2026-02-01","633"
"2026-03-01","469"
"2026-04-01","443"
