"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","193","248","295","374","536"
"2023-06-01","208","260","312","377","535"
"2023-07-01","214","265","311","380","549"
"2023-08-01","208","262","308","377","557"
"2023-09-01","219","267","314","382","594"
"2023-10-01","231","284","325","394","571"
"2023-11-01","226","275","335","411","632"
"2023-12-01","264","338","414","486","721"
"2024-01-01","281","349","430","533","942"
"2024-02-01","285","362","448","543","982"
"2024-03-01","239","296","364","443","812"
"2024-04-01","231","294","354","438","844"
"2024-05-01","241","289","348","414","708"
"2024-06-01","239","285","338","414","688"
"2024-07-01","251","287","339","411","676"
"2024-08-01","243","275","333","405","731"
"2024-09-01","301","345","426","514","925"
"2024-10-01","260","292","353","434","727"
"2024-11-01","268","312","383","472","886"
"2024-12-01","293","359","438","548","955"
"2025-01-01","306","371","451","573","1244"
"2025-02-01","277","343","420","554","1276"
"2025-03-01","282","355","444","578","1206"
"2025-04-01","263","328","402","516","1002"
"2025-05-01","256","319","387","480","858"
"2025-06-01","250","299","357","441","821"
"2025-07-01","243","298","349","434","770"
"2025-08-01","232","285","340","425","741"
"2025-09-01","229","286","338","424","772"
"2025-10-01","250","302","355","440","749"
"2025-11-01","257","318","378","470","837"
"2025-12-01","288","363","446","557","958"
"2026-01-01","332","413","503","611","1001"
"2026-02-01","358","461","564","686","1098"
"2026-03-01","291","359","421","504","814"
"2026-04-01","281","349","403","478","736"
