"Date","Booked Listings","Daily Rate"
"2026-05-14","5646","344.88"
"2026-05-15","6106","364.58"
"2026-05-16","6257","364.58"
"2026-05-17","5483","349.8"
"2026-05-18","4764","339.95"
"2026-05-19","4387","335.02"
"2026-05-20","4413","335.02"
"2026-05-21","4716","344.88"
"2026-05-22","5159","364.58"
"2026-05-23","5310","369.51"
"2026-05-24","4736","354.73"
"2026-05-25","4109","344.88"
"2026-05-26","3610","335.02"
"2026-05-27","3454","339.95"
"2026-05-28","3630","354.73"
"2026-05-29","3867","364.58"
"2026-05-30","3898","364.58"
"2026-05-31","3418","349.8"
"2026-06-01","3099","339.95"
"2026-06-02","3506","344.88"
"2026-06-03","4775","369.51"
"2026-06-04","6668","399.07"
"2026-06-05","7132","413.85"
"2026-06-06","6999","413.85"
"2026-06-07","5115","379.36"
"2026-06-08","3705","344.88"
"2026-06-09","2958","335.02"
"2026-06-10","2753","330.1"
"2026-06-11","2948","344.88"
"2026-06-12","3197","354.73"
"2026-06-13","3244","349.8"
"2026-06-14","2932","335.02"
"2026-06-15","2585","325.17"
"2026-06-16","2418","320.24"
"2026-06-17","2367","325.17"
"2026-06-18","2512","335.02"
"2026-06-19","2610","344.88"
"2026-06-20","2633","349.8"
"2026-06-21","2427","339.95"
"2026-06-22","2241","330.1"
"2026-06-23","2107","325.17"
"2026-06-24","2115","330.1"
"2026-06-25","2121","335.02"
"2026-06-26","2190","354.73"
"2026-06-27","2198","354.73"
"2026-06-28","2020","344.88"
"2026-06-29","1890","339.95"
"2026-06-30","1776","330.1"
"2026-07-01","1815","339.95"
"2026-07-02","1869","344.88"
"2026-07-03","1910","354.73"
"2026-07-04","1957","349.8"
"2026-07-05","1877","339.95"
"2026-07-06","1860","335.02"
"2026-07-07","1832","335.02"
"2026-07-08","1918","335.02"
"2026-07-09","2115","344.88"
"2026-07-10","2177","349.8"
"2026-07-11","2234","354.73"
"2026-07-12","2084","339.95"
"2026-07-13","1970","335.02"
"2026-07-14","1906","335.02"
"2026-07-15","1915","339.95"
"2026-07-16","1938","335.02"
"2026-07-17","1998","349.8"
"2026-07-18","2078","354.73"
"2026-07-19","2032","349.8"
"2026-07-20","2017","344.88"
"2026-07-21","1995","344.88"
"2026-07-22","1989","339.95"
"2026-07-23","2031","349.8"
"2026-07-24","2075","359.66"
"2026-07-25","2087","369.51"
"2026-07-26","1975","354.73"
"2026-07-27","1874","349.8"
"2026-07-28","1772","339.95"
"2026-07-29","1692","339.95"
"2026-07-30","1654","349.8"
"2026-07-31","1587","369.51"
"2026-08-01","1533","369.51"
"2026-08-02","1440","349.8"
"2026-08-03","1417","349.8"
"2026-08-04","1411","349.8"
"2026-08-05","1458","349.8"
"2026-08-06","1567","359.66"
"2026-08-07","1698","374.44"
"2026-08-08","1772","374.44"
"2026-08-09","1731","369.51"
"2026-08-10","1788","354.73"
"2026-08-11","1680","349.8"
"2026-08-12","1601","354.73"
"2026-08-13","1628","359.66"
"2026-08-14","1683","374.44"
"2026-08-15","1694","374.44"
"2026-08-16","1614","369.51"
"2026-08-17","1519","359.66"
"2026-08-18","1437","349.8"
"2026-08-19","1420","349.8"
"2026-08-20","1410","354.73"
"2026-08-21","1405","374.44"
"2026-08-22","1388","374.44"
"2026-08-23","1321","369.51"
"2026-08-24","1265","354.73"
"2026-08-25","1219","349.8"
"2026-08-26","1196","349.8"
"2026-08-27","1158","359.66"
"2026-08-28","1176","374.44"
"2026-08-29","1139","379.36"
"2026-08-30","1061","374.44"
"2026-08-31","992","359.66"
"2026-09-01","1095","349.8"
"2026-09-02","1243","354.73"
"2026-09-03","1560","359.66"
"2026-09-04","2000","379.36"
"2026-09-05","2268","389.22"
"2026-09-06","2235","384.29"
"2026-09-07","1980","374.44"
"2026-09-08","1674","359.66"
"2026-09-09","1749","349.8"
"2026-09-10","2116","359.66"
"2026-09-11","2331","374.44"
"2026-09-12","2286","384.29"
"2026-09-13","1878","369.51"
"2026-09-14","1495","354.73"
"2026-09-15","1254","349.8"
"2026-09-16","1187","339.95"
"2026-09-17","1207","354.73"
"2026-09-18","1220","369.51"
"2026-09-19","1212","369.51"
"2026-09-20","1160","364.58"
"2026-09-21","1109","359.66"
"2026-09-22","1059","349.8"
"2026-09-23","1069","344.88"
"2026-09-24","1152","364.58"
"2026-09-25","1194","394.14"
"2026-09-26","1179","399.07"
"2026-09-27","1123","384.29"
"2026-09-28","1026","374.44"
"2026-09-29","919","354.73"
"2026-09-30","841","339.95"
"2026-10-01","849","349.8"
"2026-10-02","831","354.73"
"2026-10-03","819","359.66"
"2026-10-04","777","349.8"
"2026-10-05","793","344.88"
"2026-10-06","788","339.95"
"2026-10-07","808","339.95"
"2026-10-08","860","354.73"
"2026-10-09","944","359.66"
"2026-10-10","1037","379.36"
"2026-10-11","1050","364.58"
"2026-10-12","947","354.73"
"2026-10-13","887","349.8"
"2026-10-14","875","359.66"
"2026-10-15","914","364.58"
"2026-10-16","916","374.44"
"2026-10-17","903","379.36"
"2026-10-18","850","364.58"
"2026-10-19","793","354.73"
"2026-10-20","780","344.88"
"2026-10-21","764","349.8"
"2026-10-22","812","364.58"
"2026-10-23","794","374.44"
"2026-10-24","775","374.44"
"2026-10-25","757","364.58"
"2026-10-26","707","354.73"
"2026-10-27","668","349.8"
"2026-10-28","689","359.66"
"2026-10-29","697","364.58"
"2026-10-30","691","379.36"
"2026-10-31","693","379.36"
