"Date","Revenue"
"2023-05-01","5418.86"
"2023-06-01","4990.35"
"2023-07-01","6528.37"
"2023-08-01","6290.99"
"2023-09-01","6215.67"
"2023-10-01","6745.27"
"2023-11-01","7260.72"
"2023-12-01","6265.05"
"2024-01-01","8104.54"
"2024-02-01","7824.24"
"2024-03-01","7143.53"
"2024-04-01","6527.5"
"2024-05-01","5191.64"
"2024-06-01","5188.81"
"2024-07-01","6962.48"
"2024-08-01","6717.1"
"2024-09-01","7841.83"
"2024-10-01","7152.72"
"2024-11-01","7501.41"
"2024-12-01","7203.4"
"2025-01-01","10133.8"
"2025-02-01","8780.72"
"2025-03-01","9457.77"
"2025-04-01","7499.21"
"2025-05-01","6153.04"
"2025-06-01","5918.97"
"2025-07-01","7338.64"
"2025-08-01","6967.23"
"2025-09-01","6957.21"
"2025-10-01","7545.96"
"2025-11-01","7404.43"
"2025-12-01","7438.79"
"2026-01-01","10653.14"
"2026-02-01","11207.76"
"2026-03-01","9942.88"
"2026-04-01","7778.08"
