"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","4270.5","6211.74","9227.32","11918.64","26029.45","37045.12"
"2023-06-01","3815.13","6026.85","8466.93","10827.11","21851.56","32592.99"
"2023-07-01","4806.14","7928.79","11363.7","16017.99","42179.92","28781.59"
"2023-08-01","4747.18","7507.61","10462.99","17251.96","36514.55","39433.99"
"2023-09-01","4747.52","7217.95","10698.81","14633.24","40280.78","31987.53"
"2023-10-01","5338.95","7909.19","10829.28","16419.75","27934.18","32286.41"
"2023-11-01","5517.95","8514.93","12337.17","16759.96","34643.32","40528.72"
"2023-12-01","4994.4","7328.94","10499.45","14715.55","28879.61","48133.67"
"2024-01-01","6237.71","9394.67","15023.21","21039.24","31523.94","40630.05"
"2024-02-01","5779.91","8995.74","13823.9","20771.63","55224.51","50640.22"
"2024-03-01","5499.39","8264.6","13440.38","16854.77","22200.72","38596.82"
"2024-04-01","4885.86","7634.17","12814.61","15959.8","24771.32","36849.01"
"2024-05-01","4194.71","5962.11","9141.92","11811.15","25768.82","23495.05"
"2024-06-01","4145.35","6290.36","8764.48","11950.81","16506.91","24739.12"
"2024-07-01","5420.08","8659.2","12240.54","15597.78","20097.7","27412.21"
"2024-08-01","5161.44","8015.57","11611.85","15613.24","37259.93","45711.67"
"2024-09-01","5983.41","9127.48","13915.38","18653.97","48381.91","48438.65"
"2024-10-01","5623.54","8804.93","12470.71","16669.57","24754.98","29240.46"
"2024-11-01","5606.75","8943.77","13194.96","20351.29","21650.8","103925"
"2024-12-01","5669.16","8622.08","12199.19","18008.9","16492.8","70522.81"
"2025-01-01","7675.94","11570.53","17530.53","27522.95","29273.65","178016.02"
"2025-02-01","6468.56","9751.39","14952.49","24307.46","30813.05","193173.66"
"2025-03-01","7218.32","10708.66","16238.11","21921.55","51722.62","125831.37"
"2025-04-01","5624.47","8662.93","14000.45","20827.74","41608.98","68007.33"
"2025-05-01","5009.79","6992.8","10303.48","16200.07","25352.33","51496.84"
"2025-06-01","4671.29","6878.49","10285.27","14619.83","21085.29","62358.93"
"2025-07-01","5523.16","9100.29","13918.28","17252.74","29423.31","66455.04"
"2025-08-01","5366.18","8378.37","12819.91","18185.76","33315.69","49575.55"
"2025-09-01","5451","8354.61","12621.42","16664.45","33358.35","34290.53"
"2025-10-01","5968.84","9230.38","13796.46","18683.64","24012.23","34076.2"
"2025-11-01","5831.9","8837.48","13113.88","19289.19","25681.15","53900.52"
"2025-12-01","6071.24","8682.2","12901.55","15996.65","29909.54","55756.34"
"2026-01-01","8418.63","12786.15","18684.17","26995.2","35801.13","80095.89"
"2026-02-01","8895.99","13226.89","18774.9","28276.18","51836.64","90543.58"
"2026-03-01","7876.12","11884.94","17512.5","25745.61","36532.55","70941.56"
"2026-04-01","6160.62","9359.82","13762.04","20143.54","36226.95","34595.09"
