"Date","Unique","B&B","Apartment","House"
"2023-05-01","5969.96","49118.9","25787272.16","412034.54"
"2023-06-01","9053.74","52479.95","26158803.08","443118.57"
"2023-07-01","6767.05","55529.22","32506274.46","314828.88"
"2023-08-01","10786.9","57159.6","31730098.42","525068.78"
"2023-09-01","13558.08","66573.77","35700571.15","481501.64"
"2023-10-01","11528.46","88778.76","40744380.08","611715.49"
"2023-11-01","12321.32","105572.39","51781417.04","987757.25"
"2023-12-01","107714.86","109166.67","50661638.51","1152726.31"
"2024-01-01","22747.04","159521.12","67339005.22","1140416.22"
"2024-02-01","45605.64","131072.08","73538246.73","1648194.61"
"2024-03-01","13929.97","50508.65","49007218.64","1111624.94"
"2024-04-01","8166.69","29109.73","42396501.22","895769.74"
"2024-05-01","10336.96","55602.9","42915740.08","607354.31"
"2024-06-01","9251","59031.98","37044286.53","594487.82"
"2024-07-01","9986.74","58329.52","45173511.82","620016.77"
"2024-08-01","9760.3","55769.23","44019239.48","563765.7"
"2024-09-01","43191.85","118688.83","69001591.03","1052269.44"
"2024-10-01","20612.66","58106.66","52265037.89","464774.15"
"2024-11-01","44062.62","49975.51","65760264.58","1133309.52"
"2024-12-01","49342.25","38876.81","75349901","1062036.75"
"2025-01-01","65856","37699.87","108117552.2","1578607.49"
"2025-02-01","59391.67","36321.85","96757068.1","1271755.37"
"2025-03-01","36748.88","54129.34","111504655.29","1547819.75"
"2025-04-01","30077.99","59914.64","79706110.48","1322825.13"
"2025-05-01","21327.54","65022.59","67342787.75","912651.84"
"2025-06-01","16110.58","56381.49","56922317.88","750677.73"
"2025-07-01","15735.19","35194.36","61951340.74","706421.81"
"2025-08-01","15873.26","42229.67","60094735.42","747728.15"
"2025-09-01","19677.1","42017.87","60698418.45","811205.98"
"2025-10-01","37141.73","60700.08","68396295.51","694753.13"
"2025-11-01","25230.11","82968.54","79116867.31","1016715.55"
"2025-12-01","106310.79","94056.87","97653763.16","1208270.63"
"2026-01-01","244860.79","82071.29","145432943","2670364.2"
"2026-02-01","59798.62","159556.94","161300375.79","2270489.45"
"2026-03-01","26471.74","158563.94","109970610.57","1473030.52"
"2026-04-01","23441.37","98544.63","89993453.88","1020368.63"
