"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","210","68","48","4","0","0"
"2023-06-01","217","69","48","4","0","0"
"2023-07-01","237","75","54","4","0","0"
"2023-08-01","233","69","56","3","0","0"
"2023-09-01","244","74","57","4","0","0"
"2023-10-01","256","77","64","4","0","0"
"2023-11-01","302","98","72","4","0","0"
"2023-12-01","375","127","86","4","0","0"
"2024-01-01","370","137","84","3","0","0"
"2024-02-01","391","143","88","5","0","0"
"2024-03-01","403","139","88","5","0","0"
"2024-04-01","322","106","61","5","0","0"
"2024-05-01","385","114","66","3","0","0"
"2024-06-01","345","106","65","4","0","0"
"2024-07-01","302","102","57","4","1","0"
"2024-08-01","310","98","53","5","1","0"
"2024-09-01","409","126","70","5","1","0"
"2024-10-01","398","117","69","4","0","0"
"2024-11-01","384","129","68","5","1","0"
"2024-12-01","480","173","85","7","1","0"
"2025-01-01","477","175","87","8","0","0"
"2025-02-01","471","182","89","8","0","0"
"2025-03-01","515","198","92","7","0","0"
"2025-04-01","493","194","89","5","0","0"
"2025-05-01","500","189","85","4","0","0"
"2025-06-01","412","162","69","4","0","0"
"2025-07-01","376","152","69","5","1","0"
"2025-08-01","357","132","65","6","1","0"
"2025-09-01","356","125","62","4","1","0"
"2025-10-01","362","132","57","5","1","1"
"2025-11-01","398","158","68","6","1","1"
"2025-12-01","503","202","85","7","1","1"
"2026-01-01","535","219","96","10","1","1"
"2026-02-01","573","233","115","10","1","1"
"2026-03-01","556","213","108","10","1","2"
"2026-04-01","451","173","80","9","0","1"
