"Date","Listing Days Booked","Booked Listings"
"2023-05-01","4745","269"
"2023-06-01","4786","322"
"2023-07-01","6472","332"
"2023-08-01","6246","328"
"2023-09-01","6716","363"
"2023-10-01","7296","386"
"2023-11-01","9155","473"
"2023-12-01","7727","545"
"2024-01-01","8922","543"
"2024-02-01","9310","612"
"2024-03-01","8080","446"
"2024-04-01","7058","445"
"2024-05-01","7754","548"
"2024-06-01","6375","434"
"2024-07-01","8180","419"
"2024-08-01","8259","421"
"2024-09-01","10025","598"
"2024-10-01","8255","451"
"2024-11-01","9826","566"
"2024-12-01","10331","724"
"2025-01-01","12518","701"
"2025-02-01","11626","727"
"2025-03-01","13336","795"
"2025-04-01","10777","704"
"2025-05-01","10036","736"
"2025-06-01","8723","589"
"2025-07-01","9358","504"
"2025-08-01","8875","509"
"2025-09-01","9438","504"
"2025-10-01","9707","525"
"2025-11-01","10556","603"
"2025-12-01","10891","778"
"2026-01-01","14849","822"
"2026-02-01","14876","913"
"2026-03-01","12561","649"
"2026-04-01","10996","651"
