"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","8.08"
"2024-05-01","6.1"
"2024-06-01","6.98"
"2024-07-01","8.23"
"2024-08-01","6.6"
"2024-09-01","5.63"
"2024-10-01","5.87"
"2024-11-01","5.95"
"2024-12-01","6.14"
"2025-01-01","6.44"
"2025-02-01","6.06"
"2025-03-01","6.34"
"2025-04-01","5.62"
"2025-05-01","5.06"
"2025-06-01","6.35"
"2025-07-01","6.18"
"2025-08-01","5.58"
"2025-09-01","6.05"
"2025-10-01","5.47"
"2025-11-01","5.51"
"2025-12-01","5.53"
"2026-01-01","6.26"
"2026-02-01","5.64"
"2026-03-01","5.94"
"2026-04-01","5.44"
