"Date","Occupancy"
"2023-05-01","55.57"
"2023-06-01","55.96"
"2023-07-01","68.74"
"2023-08-01","65.1"
"2023-09-01","66.96"
"2023-10-01","67"
"2023-11-01","71.16"
"2023-12-01","55.59"
"2024-01-01","58.84"
"2024-02-01","60.59"
"2024-03-01","54.72"
"2024-04-01","56.61"
"2024-05-01","51.04"
"2024-06-01","51.81"
"2024-07-01","69.32"
"2024-08-01","66.88"
"2024-09-01","66.9"
"2024-10-01","54.42"
"2024-11-01","67.34"
"2024-12-01","63.63"
"2025-01-01","61.96"
"2025-02-01","75.68"
"2025-03-01","58.52"
"2025-04-01","60.37"
"2025-05-01","47.42"
"2025-06-01","58.71"
"2025-07-01","58.22"
"2025-08-01","59.69"
"2025-09-01","64.98"
"2025-10-01","64.39"
"2025-11-01","66.36"
"2025-12-01","60.35"
"2026-01-01","64.25"
"2026-02-01","70.47"
"2026-03-01","54.65"
"2026-04-01","61.26"
