"Date","Daily Rate"
"2023-05-01","312"
"2023-06-01","324"
"2023-07-01","324"
"2023-08-01","310"
"2023-09-01","314"
"2023-10-01","342"
"2023-11-01","353"
"2023-12-01","429"
"2024-01-01","437"
"2024-02-01","467"
"2024-03-01","364"
"2024-04-01","374"
"2024-05-01","359"
"2024-06-01","376"
"2024-07-01","521"
"2024-08-01","508"
"2024-09-01","445"
"2024-10-01","358"
"2024-11-01","417"
"2024-12-01","473"
"2025-01-01","492"
"2025-02-01","480"
"2025-03-01","501"
"2025-04-01","449"
"2025-05-01","432"
"2025-06-01","389"
"2025-07-01","369"
"2025-08-01","373"
"2025-09-01","361"
"2025-10-01","387"
"2025-11-01","405"
"2025-12-01","502"
"2026-01-01","553"
"2026-02-01","654"
"2026-03-01","480"
"2026-04-01","442"
