"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","196","234","352","408","443"
"2023-06-01","198","244","349","414","484"
"2023-07-01","207","257","334","392","517"
"2023-08-01","194","265","336","382","456"
"2023-09-01","202","253","332","388","498"
"2023-10-01","211","269","370","402","574"
"2023-11-01","213","256","364","405","574"
"2023-12-01","233","317","444","489","700"
"2024-01-01","247","305","447","558","675"
"2024-02-01","239","326","439","556","831"
"2024-03-01","216","258","362","466","678"
"2024-04-01","211","261","371","483","707"
"2024-05-01","204","271","362","450","643"
"2024-06-01","202","277","408","494","614"
"2024-07-01","223","285","386","495","652"
"2024-08-01","206","268","369","501","595"
"2024-09-01","237","323","414","609","812"
"2024-10-01","208","277","342","467","656"
"2024-11-01","215","295","383","548","762"
"2024-12-01","244","331","433","568","948"
"2025-01-01","248","359","438","604","978"
"2025-02-01","213","311","439","583","995"
"2025-03-01","206","319","477","602","1049"
"2025-04-01","199","304","406","550","1036"
"2025-05-01","188","312","395","551","931"
"2025-06-01","178","284","390","511","763"
"2025-07-01","177","287","364","504","700"
"2025-08-01","180","284","352","486","807"
"2025-09-01","176","273","351","453","749"
"2025-10-01","200","293","381","481","818"
"2025-11-01","199","321","397","497","813"
"2025-12-01","221","362","466","622","1074"
"2026-01-01","242","406","508","625","1103"
"2026-02-01","275","439","595","747","1208"
"2026-03-01","217","336","436","545","915"
"2026-04-01","201","330","411","540","734"
