"Date","Booked Listings","Daily Rate"
"2026-05-14","305","344.88"
"2026-05-15","325","349.8"
"2026-05-16","339","354.73"
"2026-05-17","304","339.95"
"2026-05-18","267","335.02"
"2026-05-19","230","339.95"
"2026-05-20","235","349.8"
"2026-05-21","249","359.66"
"2026-05-22","267","359.66"
"2026-05-23","266","359.66"
"2026-05-24","256","369.51"
"2026-05-25","222","359.66"
"2026-05-26","209","339.95"
"2026-05-27","202","335.02"
"2026-05-28","213","335.02"
"2026-05-29","222","359.66"
"2026-05-30","218","369.51"
"2026-05-31","194","354.73"
"2026-06-01","181","330.1"
"2026-06-02","208","359.66"
"2026-06-03","259","379.36"
"2026-06-04","345","399.07"
"2026-06-05","357","408.92"
"2026-06-06","345","404"
"2026-06-07","252","374.44"
"2026-06-08","201","354.73"
"2026-06-09","170","330.1"
"2026-06-10","157","330.1"
"2026-06-11","167","344.88"
"2026-06-12","179","349.8"
"2026-06-13","182","354.73"
"2026-06-14","164","354.73"
"2026-06-15","144","354.73"
"2026-06-16","135","335.02"
"2026-06-17","136","330.1"
"2026-06-18","143","349.8"
"2026-06-19","150","354.73"
"2026-06-20","142","354.73"
"2026-06-21","132","354.73"
"2026-06-22","128","354.73"
"2026-06-23","125","344.88"
"2026-06-24","121","335.02"
"2026-06-25","123","344.88"
"2026-06-26","120","364.58"
"2026-06-27","121","354.73"
"2026-06-28","114","354.73"
"2026-06-29","110","339.95"
"2026-06-30","106","335.02"
"2026-07-01","99","330.1"
"2026-07-02","104","330.1"
"2026-07-03","112","344.88"
"2026-07-04","117","349.8"
"2026-07-05","116","344.88"
"2026-07-06","119","344.88"
"2026-07-07","116","339.95"
"2026-07-08","117","344.88"
"2026-07-09","130","344.88"
"2026-07-10","135","364.58"
"2026-07-11","125","359.66"
"2026-07-12","121","344.88"
"2026-07-13","126","349.8"
"2026-07-14","126","339.95"
"2026-07-15","128","335.02"
"2026-07-16","122","330.1"
"2026-07-17","118","339.95"
"2026-07-18","125","335.02"
"2026-07-19","126","339.95"
"2026-07-20","123","335.02"
"2026-07-21","124","330.1"
"2026-07-22","125","335.02"
"2026-07-23","123","339.95"
"2026-07-24","123","359.66"
"2026-07-25","118","344.88"
"2026-07-26","117","344.88"
"2026-07-27","114","339.95"
"2026-07-28","111","335.02"
"2026-07-29","109","335.02"
"2026-07-30","107","339.95"
"2026-07-31","107","369.51"
"2026-08-01","100","369.51"
"2026-08-02","95","364.58"
"2026-08-03","82","349.8"
"2026-08-04","81","349.8"
"2026-08-05","86","369.51"
"2026-08-06","90","369.51"
"2026-08-07","96","418.78"
"2026-08-08","95","413.85"
"2026-08-09","96","404"
"2026-08-10","98","369.51"
"2026-08-11","84","339.95"
"2026-08-12","78","339.95"
"2026-08-13","78","364.58"
"2026-08-14","88","423.7"
"2026-08-15","88","413.85"
"2026-08-16","88","379.36"
"2026-08-17","80","359.66"
"2026-08-18","80","349.8"
"2026-08-19","80","339.95"
"2026-08-20","78","364.58"
"2026-08-21","77","423.7"
"2026-08-22","73","404"
"2026-08-23","73","364.58"
"2026-08-24","69","349.8"
"2026-08-25","67","330.1"
"2026-08-26","65","335.02"
"2026-08-27","65","339.95"
"2026-08-28","69","418.78"
"2026-08-29","66","349.8"
"2026-08-30","67","335.02"
"2026-08-31","63","335.02"
"2026-09-01","72","335.02"
"2026-09-02","84","335.02"
"2026-09-03","91","339.95"
"2026-09-04","109","374.44"
"2026-09-05","119","389.22"
"2026-09-06","126","389.22"
"2026-09-07","116","349.8"
"2026-09-08","109","335.02"
"2026-09-09","118","335.02"
"2026-09-10","128","339.95"
"2026-09-11","135","359.66"
"2026-09-12","133","369.51"
"2026-09-13","111","359.66"
"2026-09-14","87","349.8"
"2026-09-15","72","335.02"
"2026-09-16","68","335.02"
"2026-09-17","69","339.95"
"2026-09-18","69","359.66"
"2026-09-19","65","354.73"
"2026-09-20","67","354.73"
"2026-09-21","69","335.02"
"2026-09-22","67","335.02"
"2026-09-23","64","339.95"
"2026-09-24","67","384.29"
"2026-09-25","66","374.44"
"2026-09-26","68","384.29"
"2026-09-27","67","374.44"
"2026-09-28","62","335.02"
"2026-09-29","58","315.32"
"2026-09-30","53","315.32"
"2026-10-01","51","369.51"
"2026-10-02","51","369.51"
"2026-10-03","51","369.51"
"2026-10-04","51","335.02"
"2026-10-05","54","335.02"
"2026-10-06","54","335.02"
"2026-10-07","56","330.1"
"2026-10-08","52","349.8"
"2026-10-09","53","369.51"
"2026-10-10","54","339.95"
"2026-10-11","55","339.95"
"2026-10-12","50","335.02"
"2026-10-13","55","335.02"
"2026-10-14","55","335.02"
"2026-10-15","56","330.1"
"2026-10-16","53","349.8"
"2026-10-17","52","349.8"
"2026-10-18","51","339.95"
"2026-10-19","52","335.02"
"2026-10-20","48","335.02"
"2026-10-21","51","330.1"
"2026-10-22","48","330.1"
"2026-10-23","47","349.8"
"2026-10-24","47","349.8"
"2026-10-25","49","339.95"
"2026-10-26","47","335.02"
"2026-10-27","47","335.02"
"2026-10-28","48","330.1"
"2026-10-29","48","339.95"
"2026-10-30","42","349.8"
"2026-10-31","41","349.8"
