"Date","Revenue"
"2023-05-01","5508.81"
"2023-06-01","4815.9"
"2023-07-01","6322.76"
"2023-08-01","5908.21"
"2023-09-01","5817.71"
"2023-10-01","6459.02"
"2023-11-01","6830.14"
"2023-12-01","6082.06"
"2024-01-01","7181.18"
"2024-02-01","7109.26"
"2024-03-01","6598.73"
"2024-04-01","5936.36"
"2024-05-01","5073.84"
"2024-06-01","5515.74"
"2024-07-01","10173.72"
"2024-08-01","9959.26"
"2024-09-01","7452.52"
"2024-10-01","6559.54"
"2024-11-01","7241.88"
"2024-12-01","6751.44"
"2025-01-01","8783.3"
"2025-02-01","7674.05"
"2025-03-01","8398.33"
"2025-04-01","6875.02"
"2025-05-01","5893.43"
"2025-06-01","5759.03"
"2025-07-01","6856.63"
"2025-08-01","6497.1"
"2025-09-01","6761.26"
"2025-10-01","7155.13"
"2025-11-01","7086.85"
"2025-12-01","7033.6"
"2026-01-01","9994"
"2026-02-01","10658.12"
"2026-03-01","9293.09"
"2026-04-01","7460.48"
