"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","4137.65","7196.61","7430.27","18950.09","",""
"2023-06-01","3454.76","6470.73","7882","11596.2","",""
"2023-07-01","4433.21","8229.53","10784.11","23323.67","",""
"2023-08-01","4400.2","6907.45","10645.33","19207.71","",""
"2023-09-01","4429.78","7343.36","9519.81","12682.11","",""
"2023-10-01","4858.11","8078.36","10131.16","19578.95","",""
"2023-11-01","5067.69","8072.12","11912.83","19117.73","",""
"2023-12-01","4480.39","7030.28","11012.86","21099.28","",""
"2024-01-01","5381.96","8243.02","12962.85","22309.32","",""
"2024-02-01","5133.36","8621.9","12907.95","18533.73","",""
"2024-03-01","5002.05","7222.5","13768.79","14164.81","",""
"2024-04-01","4501.85","7324","10433.98","9231.74","",""
"2024-05-01","3862.16","6733.87","9063.56","14498.09","",""
"2024-06-01","4055.94","7078.75","9154","17961.6","",""
"2024-07-01","4900.42","9559.97","15359.69","18157.39","1196283.67",""
"2024-08-01","5144.54","9267.07","13009.29","16949.67","1244803.13",""
"2024-09-01","5355.85","10111.12","14414.19","12232.34","",""
"2024-10-01","4952.69","8969.62","11611.21","11932.67","",""
"2024-11-01","5419.86","9121.21","13409.79","14512.66","7188.22",""
"2024-12-01","5058.03","8308.79","12964.4","10499.1","",""
"2025-01-01","6421.06","11369.13","15978.99","12813.68","",""
"2025-02-01","5639.67","9691.09","13525.85","15858.28","",""
"2025-03-01","6151.13","11092.29","14139.18","22163.67","",""
"2025-04-01","4683.1","8971.42","14339.61","16217.39","",""
"2025-05-01","4417.92","7742.36","10433.45","11341.45","",""
"2025-06-01","4150.11","6746.99","12060.37","13841.74","",""
"2025-07-01","4930.93","8029.62","13426.66","15918.61","5069.06",""
"2025-08-01","4411.51","8343.26","13991.53","12446.92","6205.64",""
"2025-09-01","4953.83","8275.23","14232.38","13314.77","17082.55",""
"2025-10-01","5002.36","8948.14","15708.49","17514.5","14379.2","5434.44"
"2025-11-01","5231.95","8662.14","12883.3","16632.91","6536.63","42943.62"
"2025-12-01","4964.98","8948.34","13281.4","15768.2","24486.19","60159.57"
"2026-01-01","7239.35","12443.59","18006.13","18956.99","46617.14","86554.74"
"2026-02-01","7630.86","12090.16","20731.55","25743.63","40152.81","84288.03"
"2026-03-01","6433.28","10887.32","20786.72","18333.95","20384.2","15245.51"
"2026-04-01","5501.08","8893.24","13766.08","20887.59","","19536.14"
