"Date","Unique","B&B","Apartment","House"
"2023-05-01","2576.71","288.47","1443120.78","35883.3"
"2023-06-01","2487.13","6273.16","1503969.77","37990.11"
"2023-07-01","2607.89","13558.12","2043799.08","39190.32"
"2023-08-01","2666.82","9490.88","1891979.3","33756.42"
"2023-09-01","2481.92","15183.49","2057334.03","36829.7"
"2023-10-01","5595.07","18577.84","2403550.68","65459.25"
"2023-11-01","2333.95","21166.02","3094454.4","112700.66"
"2023-12-01","3357.91","20428.94","3144377.23","146557.99"
"2024-01-01","1065.13","15685.1","3768110.68","114518.25"
"2024-02-01","4904.26","11788.13","4195530.17","138647.32"
"2024-03-01","5126.31","21679.4","2871333.45","44892.69"
"2024-04-01","2893.34","23463.04","2565135.48","50187.58"
"2024-05-01","5068.35","23436.61","2690696.41","61261.78"
"2024-06-01","3868.41","19534.65","2330642.21","39786.26"
"2024-07-01","2871.26","18464.3","4176869.9","64584.17"
"2024-08-01","2891.33","8218.62","4130412.04","51325.24"
"2024-09-01","4383.99","26275.74","4318891.56","107058.3"
"2024-10-01","3556.05","15728.03","2875855.79","63211.77"
"2024-11-01","4776.69","17222.74","3987420.46","89481.72"
"2024-12-01","4072.58","22967.17","4735025.61","125978.04"
"2025-01-01","6121.94","16766.19","5991608.69","142596.78"
"2025-02-01","8596.99","9110.41","5434888.61","126439.06"
"2025-03-01","10813.23","24516.49","6480512.72","160830.95"
"2025-04-01","988.87","5321.04","4716987.56","116715.54"
"2025-05-01","3398.31","6120.37","4220376.14","107666.31"
"2025-06-01","","2333.98","3318580.34","71156"
"2025-07-01","","3140.37","3381087.88","71511.48"
"2025-08-01","","3559.2","3228444.38","75018.56"
"2025-09-01","","4843.51","3333538.37","69292.54"
"2025-10-01","","5875.96","3671280.75","79287.29"
"2025-11-01","254.26","4725.02","4167798.51","100592"
"2025-12-01","20452.09","11317.15","5299614.3","140754.99"
"2026-01-01","6539.93","8569.56","7977625.12","222336.16"
"2026-02-01","12975.42","10224.8","9399192.7","308471.52"
"2026-03-01","6332.75","7388.21","5889920.55","127571.85"
"2026-04-01","7995.23","6502.06","4729632.8","112642.41"
