"Date","Booked Listings","Daily Rate"
"2026-06-08","724","57"
"2026-06-09","625","55"
"2026-06-10","610","54"
"2026-06-11","641","55"
"2026-06-12","676","60"
"2026-06-13","674","59"
"2026-06-14","577","56"
"2026-06-15","507","54"
"2026-06-16","481","53"
"2026-06-17","477","54"
"2026-06-18","482","57"
"2026-06-19","514","58"
"2026-06-20","499","58"
"2026-06-21","453","57"
"2026-06-22","428","56"
"2026-06-23","419","55"
"2026-06-24","415","55"
"2026-06-25","419","57"
"2026-06-26","416","59"
"2026-06-27","412","59"
"2026-06-28","383","57"
"2026-06-29","368","56"
"2026-06-30","359","57"
"2026-07-01","336","57"
"2026-07-02","337","57"
"2026-07-03","355","57"
"2026-07-04","360","57"
"2026-07-05","341","56"
"2026-07-06","342","56"
"2026-07-07","350","54"
"2026-07-08","369","55"
"2026-07-09","387","56"
"2026-07-10","392","57"
"2026-07-11","390","58"
"2026-07-12","369","56"
"2026-07-13","345","54"
"2026-07-14","340","54"
"2026-07-15","336","54"
"2026-07-16","342","56"
"2026-07-17","349","57"
"2026-07-18","339","57"
"2026-07-19","338","55"
"2026-07-20","329","55"
"2026-07-21","314","56"
"2026-07-22","328","56"
"2026-07-23","320","56"
"2026-07-24","327","59"
"2026-07-25","350","59"
"2026-07-26","350","57"
"2026-07-27","343","55"
"2026-07-28","339","55"
"2026-07-29","335","54"
"2026-07-30","340","56"
"2026-07-31","310","59"
"2026-08-01","279","57"
"2026-08-02","248","55"
"2026-08-03","241","54"
"2026-08-04","244","53"
"2026-08-05","258","55"
"2026-08-06","274","58"
"2026-08-07","293","60"
"2026-08-08","294","60"
"2026-08-09","275","58"
"2026-08-10","277","56"
"2026-08-11","271","55"
"2026-08-12","257","55"
"2026-08-13","262","55"
"2026-08-14","260","58"
"2026-08-15","246","56"
"2026-08-16","232","56"
"2026-08-17","224","55"
"2026-08-18","203","55"
"2026-08-19","195","54"
"2026-08-20","200","56"
"2026-08-21","194","59"
"2026-08-22","195","59"
"2026-08-23","183","57"
"2026-08-24","178","59"
"2026-08-25","175","56"
"2026-08-26","178","56"
"2026-08-27","182","59"
"2026-08-28","182","62"
"2026-08-29","171","61"
"2026-08-30","164","59"
"2026-08-31","151","54"
"2026-09-01","171","55"
"2026-09-02","195","56"
"2026-09-03","250","59"
"2026-09-04","328","66"
"2026-09-05","382","68"
"2026-09-06","370","62"
"2026-09-07","307","59"
"2026-09-08","255","56"
"2026-09-09","275","54"
"2026-09-10","355","58"
"2026-09-11","395","61"
"2026-09-12","413","64"
"2026-09-13","350","58"
"2026-09-14","248","56"
"2026-09-15","190","51"
"2026-09-16","166","52"
"2026-09-17","169","56"
"2026-09-18","172","58"
"2026-09-19","165","61"
"2026-09-20","163","57"
"2026-09-21","149","56"
"2026-09-22","146","55"
"2026-09-23","148","57"
"2026-09-24","151","59"
"2026-09-25","159","60"
"2026-09-26","168","64"
"2026-09-27","161","59"
"2026-09-28","139","57"
"2026-09-29","126","57"
"2026-09-30","115","59"
"2026-10-01","118","59"
"2026-10-02","118","61"
"2026-10-03","119","62"
"2026-10-04","117","59"
"2026-10-05","116","57"
"2026-10-06","117","58"
"2026-10-07","116","59"
"2026-10-08","130","58"
"2026-10-09","129","59"
"2026-10-10","136","59"
"2026-10-11","132","58"
"2026-10-12","121","58"
"2026-10-13","123","57"
"2026-10-14","130","56"
"2026-10-15","133","57"
"2026-10-16","135","60"
"2026-10-17","133","60"
"2026-10-18","126","59"
"2026-10-19","127","57"
"2026-10-20","128","57"
"2026-10-21","132","57"
"2026-10-22","136","58"
"2026-10-23","131","63"
"2026-10-24","123","61"
"2026-10-25","114","59"
"2026-10-26","114","57"
"2026-10-27","115","56"
"2026-10-28","108","57"
"2026-10-29","108","57"
"2026-10-30","94","59"
"2026-10-31","92","57"
"2026-11-01","100","57"
"2026-11-02","95","58"
"2026-11-03","104","57"
"2026-11-04","109","58"
"2026-11-05","108","58"
"2026-11-06","105","59"
"2026-11-07","106","59"
"2026-11-08","105","58"
"2026-11-09","102","58"
"2026-11-10","101","57"
"2026-11-11","101","57"
"2026-11-12","99","58"
"2026-11-13","94","58"
"2026-11-14","93","58"
"2026-11-15","92","57"
"2026-11-16","88","56"
"2026-11-17","91","56"
"2026-11-18","101","57"
"2026-11-19","98","57"
"2026-11-20","95","59"
"2026-11-21","102","59"
"2026-11-22","99","57"
"2026-11-23","98","56"
"2026-11-24","100","56"
"2026-11-25","100","57"
"2026-11-26","101","57"
"2026-11-27","99","57"
"2026-11-28","99","57"
"2026-11-29","94","56"
"2026-11-30","90","56"
