"Date","Booked Listings","Daily Rate"
"2026-06-08","137","48"
"2026-06-09","120","46"
"2026-06-10","116","46"
"2026-06-11","117","47"
"2026-06-12","128","47"
"2026-06-13","128","47"
"2026-06-14","112","44"
"2026-06-15","101","42"
"2026-06-16","92","40"
"2026-06-17","88","43"
"2026-06-18","90","46"
"2026-06-19","91","48"
"2026-06-20","92","47"
"2026-06-21","91","46"
"2026-06-22","86","43"
"2026-06-23","78","42"
"2026-06-24","79","44"
"2026-06-25","79","45"
"2026-06-26","76","46"
"2026-06-27","76","46"
"2026-06-28","73","44"
"2026-06-29","68","42"
"2026-06-30","66","40"
"2026-07-01","66","41"
"2026-07-02","67","43"
"2026-07-03","71","46"
"2026-07-04","72","46"
"2026-07-05","69","45"
"2026-07-06","68","44"
"2026-07-07","67","45"
"2026-07-08","68","42"
"2026-07-09","72","42"
"2026-07-10","79","48"
"2026-07-11","80","48"
"2026-07-12","78","46"
"2026-07-13","78","45"
"2026-07-14","73","45"
"2026-07-15","71","44"
"2026-07-16","75","46"
"2026-07-17","74","47"
"2026-07-18","75","49"
"2026-07-19","72","48"
"2026-07-20","72","45"
"2026-07-21","70","45"
"2026-07-22","72","45"
"2026-07-23","72","44"
"2026-07-24","73","46"
"2026-07-25","73","46"
"2026-07-26","78","46"
"2026-07-27","74","45"
"2026-07-28","71","44"
"2026-07-29","67","46"
"2026-07-30","66","43"
"2026-07-31","65","46"
"2026-08-01","56","45"
"2026-08-02","52","43"
"2026-08-03","52","44"
"2026-08-04","54","44"
"2026-08-05","55","44"
"2026-08-06","57","44"
"2026-08-07","58","46"
"2026-08-08","58","47"
"2026-08-09","52","46"
"2026-08-10","51","46"
"2026-08-11","52","43"
"2026-08-12","47","46"
"2026-08-13","50","46"
"2026-08-14","53","49"
"2026-08-15","57","50"
"2026-08-16","45","49"
"2026-08-17","38","46"
"2026-08-18","36","46"
"2026-08-19","34","45"
"2026-08-20","34","45"
"2026-08-21","34","46"
"2026-08-22","32","46"
"2026-08-23","32","46"
"2026-08-24","31","49"
"2026-08-25","31","46"
"2026-08-26","30","46"
"2026-08-27","33","46"
"2026-08-28","35","49"
"2026-08-29","35","45"
"2026-08-30","40","46"
"2026-08-31","36","44"
"2026-09-01","36","46"
"2026-09-02","37","43"
"2026-09-03","40","46"
"2026-09-04","53","50"
"2026-09-05","60","50"
"2026-09-06","58","49"
"2026-09-07","48","47"
"2026-09-08","45","47"
"2026-09-09","47","47"
"2026-09-10","55","53"
"2026-09-11","58","58"
"2026-09-12","60","59"
"2026-09-13","52","53"
"2026-09-14","36","49"
"2026-09-15","32","45"
"2026-09-16","27","45"
"2026-09-17","27","46"
"2026-09-18","27","47"
"2026-09-19","25","46"
"2026-09-20","26","44"
"2026-09-21","27","45"
"2026-09-22","28","43"
"2026-09-23","29","43"
"2026-09-24","27","43"
"2026-09-25","26","45"
"2026-09-26","27","46"
"2026-09-27","23","43"
"2026-09-28","22","43"
"2026-09-29","22","43"
"2026-09-30","20","40"
"2026-10-01","23","43"
"2026-10-02","22","45"
"2026-10-03","22","45"
"2026-10-04","21","45"
"2026-10-05","21","45"
"2026-10-06","19","45"
"2026-10-07","18","43"
"2026-10-08","20","45"
"2026-10-09","17","48"
"2026-10-10","18","48"
"2026-10-11","17","45"
"2026-10-12","18","45"
"2026-10-13","18","44"
"2026-10-14","19","44"
"2026-10-15","20","45"
"2026-10-16","21","48"
"2026-10-17","20","45"
"2026-10-18","18","40"
"2026-10-19","18","43"
"2026-10-20","19","43"
"2026-10-21","20","43"
"2026-10-22","20","43"
"2026-10-23","20","45"
"2026-10-24","18","41"
"2026-10-25","17","40"
"2026-10-26","18","43"
"2026-10-27","17","44"
"2026-10-28","17","44"
"2026-10-29","18","45"
"2026-10-30","18","48"
"2026-10-31","17","58"
"2026-11-01","13","41"
"2026-11-02","15","41"
"2026-11-03","16","41"
"2026-11-04","19","41"
"2026-11-05","20","41"
"2026-11-06","21","46"
"2026-11-07","20","43"
"2026-11-08","18","42"
"2026-11-09","19","42"
"2026-11-10","19","43"
"2026-11-11","20","42"
"2026-11-12","20","41"
"2026-11-13","19","46"
"2026-11-14","18","45"
"2026-11-15","17","44"
"2026-11-16","18","42"
"2026-11-17","20","42"
"2026-11-18","21","42"
"2026-11-19","20","42"
"2026-11-20","22","45"
"2026-11-21","21","45"
"2026-11-22","18","44"
"2026-11-23","18","42"
"2026-11-24","18","41"
"2026-11-25","18","41"
"2026-11-26","18","41"
"2026-11-27","18","45"
"2026-11-28","17","45"
"2026-11-29","13","40"
"2026-11-30","14","40"
