"Date","Booked Listings","Daily Rate"
"2026-06-08","1177","42"
"2026-06-09","1031","40"
"2026-06-10","976","40"
"2026-06-11","972","40"
"2026-06-12","1106","43"
"2026-06-13","1070","44"
"2026-06-14","882","41"
"2026-06-15","787","40"
"2026-06-16","737","40"
"2026-06-17","705","40"
"2026-06-18","660","40"
"2026-06-19","691","42"
"2026-06-20","704","42"
"2026-06-21","638","40"
"2026-06-22","600","38"
"2026-06-23","593","39"
"2026-06-24","574","39"
"2026-06-25","563","40"
"2026-06-26","572","42"
"2026-06-27","572","42"
"2026-06-28","547","40"
"2026-06-29","513","40"
"2026-06-30","465","40"
"2026-07-01","432","39"
"2026-07-02","426","40"
"2026-07-03","443","42"
"2026-07-04","466","43"
"2026-07-05","444","40"
"2026-07-06","435","39"
"2026-07-07","442","40"
"2026-07-08","451","40"
"2026-07-09","472","40"
"2026-07-10","489","43"
"2026-07-11","502","43"
"2026-07-12","479","41"
"2026-07-13","451","40"
"2026-07-14","420","40"
"2026-07-15","422","40"
"2026-07-16","426","40"
"2026-07-17","426","42"
"2026-07-18","422","43"
"2026-07-19","416","42"
"2026-07-20","413","42"
"2026-07-21","406","42"
"2026-07-22","409","42"
"2026-07-23","413","43"
"2026-07-24","433","45"
"2026-07-25","444","46"
"2026-07-26","413","42"
"2026-07-27","397","40"
"2026-07-28","376","40"
"2026-07-29","349","41"
"2026-07-30","344","42"
"2026-07-31","322","45"
"2026-08-01","310","46"
"2026-08-02","288","43"
"2026-08-03","280","42"
"2026-08-04","284","42"
"2026-08-05","275","43"
"2026-08-06","309","43"
"2026-08-07","324","45"
"2026-08-08","326","45"
"2026-08-09","318","44"
"2026-08-10","317","42"
"2026-08-11","324","43"
"2026-08-12","305","43"
"2026-08-13","313","43"
"2026-08-14","312","45"
"2026-08-15","311","46"
"2026-08-16","290","44"
"2026-08-17","265","42"
"2026-08-18","266","43"
"2026-08-19","254","43"
"2026-08-20","258","44"
"2026-08-21","258","47"
"2026-08-22","243","45"
"2026-08-23","256","42"
"2026-08-24","257","42"
"2026-08-25","257","41"
"2026-08-26","256","41"
"2026-08-27","260","41"
"2026-08-28","250","44"
"2026-08-29","255","44"
"2026-08-30","213","43"
"2026-08-31","198","42"
"2026-09-01","238","42"
"2026-09-02","262","42"
"2026-09-03","300","43"
"2026-09-04","386","46"
"2026-09-05","468","47"
"2026-09-06","469","46"
"2026-09-07","392","44"
"2026-09-08","315","42"
"2026-09-09","343","42"
"2026-09-10","426","43"
"2026-09-11","493","47"
"2026-09-12","500","48"
"2026-09-13","414","45"
"2026-09-14","320","44"
"2026-09-15","255","42"
"2026-09-16","239","41"
"2026-09-17","231","41"
"2026-09-18","237","44"
"2026-09-19","237","45"
"2026-09-20","222","44"
"2026-09-21","213","43"
"2026-09-22","207","42"
"2026-09-23","195","42"
"2026-09-24","200","42"
"2026-09-25","194","47"
"2026-09-26","193","48"
"2026-09-27","187","46"
"2026-09-28","171","42"
"2026-09-29","161","42"
"2026-09-30","164","42"
"2026-10-01","173","42"
"2026-10-02","163","46"
"2026-10-03","160","47"
"2026-10-04","159","42"
"2026-10-05","162","40"
"2026-10-06","167","40"
"2026-10-07","168","41"
"2026-10-08","172","41"
"2026-10-09","180","46"
"2026-10-10","193","46"
"2026-10-11","194","45"
"2026-10-12","179","43"
"2026-10-13","169","41"
"2026-10-14","167","42"
"2026-10-15","168","43"
"2026-10-16","171","47"
"2026-10-17","168","47"
"2026-10-18","157","45"
"2026-10-19","153","42"
"2026-10-20","150","42"
"2026-10-21","142","42"
"2026-10-22","146","41"
"2026-10-23","146","44"
"2026-10-24","147","45"
"2026-10-25","141","41"
"2026-10-26","139","40"
"2026-10-27","138","40"
"2026-10-28","142","41"
"2026-10-29","140","42"
"2026-10-30","133","44"
"2026-10-31","145","46"
"2026-11-01","154","45"
"2026-11-02","147","44"
"2026-11-03","151","44"
"2026-11-04","147","44"
"2026-11-05","151","44"
"2026-11-06","146","47"
"2026-11-07","148","46"
"2026-11-08","142","44"
"2026-11-09","142","44"
"2026-11-10","149","44"
"2026-11-11","143","43"
"2026-11-12","141","44"
"2026-11-13","138","47"
"2026-11-14","142","47"
"2026-11-15","142","44"
"2026-11-16","145","44"
"2026-11-17","144","43"
"2026-11-18","144","44"
"2026-11-19","158","44"
"2026-11-20","159","46"
"2026-11-21","161","47"
"2026-11-22","153","44"
"2026-11-23","142","44"
"2026-11-24","141","44"
"2026-11-25","136","44"
"2026-11-26","136","44"
"2026-11-27","131","47"
"2026-11-28","127","47"
"2026-11-29","123","44"
"2026-11-30","120","44"
